prospective_cluster_count,theoretical_sign_configurations,minimum_attainable_exact_p,frozen_alpha,structurally_attainable,attainability_status,prospective_expansion_policy,sign_flip_engine,cluster_uncertainty_engine,simulated_cells,empirically_passable_cells,maximum_gate_passage_probability,mean_gate_passage_probability,minimum_observed_raw_p,maximum_effective_cluster_count,mean_effective_resolution_attainability,empirically_passable
3,8,0.125,0.1,False,structurally_unattainable,joint_cluster_template_bootstrap_nested_prefix,exact_meet_in_the_middle_subset_count,exact_certificates_plus_deterministic_bootstrap_for_ambiguous_vectors,600,0,0.0,0.0,0.125,3.0,0.0,False
4,16,0.0625,0.1,True,structurally_attainable,joint_cluster_template_bootstrap_nested_prefix,exact_meet_in_the_middle_subset_count,exact_certificates_plus_deterministic_bootstrap_for_ambiguous_vectors,600,307,0.351,0.042085000000000004,0.0625,4.0,0.08523833333333333,True
5,32,0.03125,0.1,True,structurally_attainable,joint_cluster_template_bootstrap_nested_prefix,exact_meet_in_the_middle_subset_count,exact_certificates_plus_deterministic_bootstrap_for_ambiguous_vectors,600,334,0.661,0.09629833333333333,0.03125,5.0,0.17762,True
6,64,0.015625,0.1,True,structurally_attainable,joint_cluster_template_bootstrap_nested_prefix,exact_meet_in_the_middle_subset_count,exact_certificates_plus_deterministic_bootstrap_for_ambiguous_vectors,600,336,0.86,0.144905,0.015625,6.0,0.24613,True
8,256,0.00390625,0.1,True,structurally_attainable,joint_cluster_template_bootstrap_nested_prefix,exact_meet_in_the_middle_subset_count,exact_certificates_plus_deterministic_bootstrap_for_ambiguous_vectors,600,336,0.98,0.21365333333333333,0.00390625,8.0,0.324525,True
10,1024,0.0009765625,0.1,True,structurally_attainable,joint_cluster_template_bootstrap_nested_prefix,exact_meet_in_the_middle_subset_count,exact_certificates_plus_deterministic_bootstrap_for_ambiguous_vectors,600,336,1.0,0.26006,0.0009765625,10.0,0.37397,True
12,4096,0.000244140625,0.1,True,structurally_attainable,joint_cluster_template_bootstrap_nested_prefix,exact_meet_in_the_middle_subset_count,exact_certificates_plus_deterministic_bootstrap_for_ambiguous_vectors,600,336,1.0,0.29566166666666666,0.000244140625,12.0,0.41492333333333337,True
