address_id,partition,prospective_cluster_count,delta,control_response_lambda,simulator_count,minimum_simulator_probability,maximum_simulator_probability,mean_simulator_probability,between_simulator_spread
03ef63db7584762143dc3914,confirmation,5,0.25,1.0,2,0.025,0.036,0.0305,0.010999999999999996
03ef63db7584762143dc3914,confirmation,5,0.5,0.0,2,0.143,0.149,0.146,0.006000000000000005
03ef63db7584762143dc3914,confirmation,5,0.5,0.25,2,0.143,0.146,0.1445,0.0030000000000000027
03ef63db7584762143dc3914,confirmation,5,0.5,0.5,2,0.116,0.128,0.122,0.011999999999999997
03ef63db7584762143dc3914,confirmation,5,0.5,1.0,2,0.061,0.068,0.0645,0.007000000000000006
03ef63db7584762143dc3914,confirmation,5,0.75,0.0,2,0.184,0.185,0.1845,0.0010000000000000009
03ef63db7584762143dc3914,confirmation,5,0.75,0.25,2,0.166,0.182,0.174,0.015999999999999986
03ef63db7584762143dc3914,confirmation,5,0.75,0.5,2,0.141,0.154,0.1475,0.013000000000000012
03ef63db7584762143dc3914,confirmation,5,0.75,1.0,2,0.059,0.07,0.0645,0.01100000000000001
03ef63db7584762143dc3914,confirmation,5,1.0,0.0,2,0.162,0.187,0.1745,0.024999999999999994
03ef63db7584762143dc3914,confirmation,5,1.0,0.25,2,0.169,0.212,0.1905,0.04299999999999998
03ef63db7584762143dc3914,confirmation,5,1.0,0.5,2,0.17,0.172,0.17099999999999999,0.001999999999999974
03ef63db7584762143dc3914,confirmation,5,1.0,1.0,2,0.05,0.058,0.054000000000000006,0.008
03ef63db7584762143dc3914,confirmation,5,1.5,0.0,2,0.18,0.186,0.183,0.006000000000000005
03ef63db7584762143dc3914,confirmation,5,1.5,0.25,2,0.186,0.204,0.195,0.017999999999999988
03ef63db7584762143dc3914,confirmation,5,1.5,0.5,2,0.173,0.18,0.1765,0.007000000000000006
03ef63db7584762143dc3914,confirmation,5,1.5,1.0,2,0.063,0.065,0.064,0.0020000000000000018
03ef63db7584762143dc3914,confirmation,5,2.0,0.0,2,0.172,0.181,0.1765,0.009000000000000008
03ef63db7584762143dc3914,confirmation,5,2.0,0.25,2,0.192,0.195,0.1935,0.0030000000000000027
03ef63db7584762143dc3914,confirmation,5,2.0,0.5,2,0.173,0.195,0.184,0.02200000000000002
03ef63db7584762143dc3914,confirmation,5,2.0,1.0,2,0.067,0.074,0.07050000000000001,0.006999999999999992
03ef63db7584762143dc3914,confirmation,6,0.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,6,0.25,0.0,2,0.134,0.158,0.14600000000000002,0.023999999999999994
03ef63db7584762143dc3914,confirmation,6,0.25,0.25,2,0.122,0.137,0.1295,0.015000000000000013
03ef63db7584762143dc3914,confirmation,6,0.25,0.5,2,0.12,0.134,0.127,0.014000000000000012
03ef63db7584762143dc3914,confirmation,6,0.25,1.0,2,0.057,0.081,0.069,0.024
03ef63db7584762143dc3914,confirmation,6,0.5,0.0,2,0.277,0.295,0.28600000000000003,0.01799999999999996
03ef63db7584762143dc3914,confirmation,6,0.5,0.25,2,0.287,0.288,0.2875,0.0010000000000000009
03ef63db7584762143dc3914,confirmation,6,0.5,0.5,2,0.237,0.25,0.2435,0.013000000000000012
03ef63db7584762143dc3914,confirmation,6,0.5,1.0,2,0.105,0.112,0.1085,0.007000000000000006
03ef63db7584762143dc3914,confirmation,6,0.75,0.0,2,0.339,0.351,0.345,0.011999999999999955
03ef63db7584762143dc3914,confirmation,6,0.75,0.25,2,0.3,0.319,0.3095,0.019000000000000017
03ef63db7584762143dc3914,confirmation,6,0.75,0.5,2,0.276,0.291,0.2835,0.014999999999999958
03ef63db7584762143dc3914,confirmation,6,0.75,1.0,2,0.104,0.126,0.11499999999999999,0.022000000000000006
03ef63db7584762143dc3914,confirmation,6,1.0,0.0,2,0.318,0.338,0.328,0.020000000000000018
03ef63db7584762143dc3914,confirmation,6,1.0,0.25,2,0.323,0.354,0.3385,0.030999999999999972
03ef63db7584762143dc3914,confirmation,6,1.0,0.5,2,0.294,0.313,0.3035,0.019000000000000017
03ef63db7584762143dc3914,confirmation,6,1.0,1.0,2,0.119,0.121,0.12,0.0020000000000000018
03ef63db7584762143dc3914,confirmation,6,1.5,0.0,2,0.326,0.347,0.3365,0.020999999999999963
03ef63db7584762143dc3914,confirmation,6,1.5,0.25,2,0.351,0.355,0.353,0.0040000000000000036
03ef63db7584762143dc3914,confirmation,6,1.5,0.5,2,0.319,0.336,0.3275,0.017000000000000015
03ef63db7584762143dc3914,confirmation,6,1.5,1.0,2,0.106,0.125,0.11549999999999999,0.019000000000000003
03ef63db7584762143dc3914,confirmation,6,2.0,0.0,2,0.331,0.345,0.33799999999999997,0.013999999999999957
03ef63db7584762143dc3914,confirmation,6,2.0,0.25,2,0.322,0.356,0.33899999999999997,0.033999999999999975
03ef63db7584762143dc3914,confirmation,6,2.0,0.5,2,0.335,0.346,0.3405,0.010999999999999954
03ef63db7584762143dc3914,confirmation,6,2.0,1.0,2,0.107,0.121,0.11399999999999999,0.013999999999999999
03ef63db7584762143dc3914,confirmation,8,0.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,8,0.25,0.0,2,0.31,0.342,0.326,0.03200000000000003
03ef63db7584762143dc3914,confirmation,8,0.25,0.25,2,0.324,0.348,0.33599999999999997,0.023999999999999966
03ef63db7584762143dc3914,confirmation,8,0.25,0.5,2,0.269,0.272,0.2705,0.0030000000000000027
03ef63db7584762143dc3914,confirmation,8,0.25,1.0,2,0.111,0.127,0.119,0.016
03ef63db7584762143dc3914,confirmation,8,0.5,0.0,2,0.57,0.578,0.574,0.008000000000000007
03ef63db7584762143dc3914,confirmation,8,0.5,0.25,2,0.548,0.585,0.5665,0.03699999999999992
03ef63db7584762143dc3914,confirmation,8,0.5,0.5,2,0.487,0.492,0.4895,0.0050000000000000044
03ef63db7584762143dc3914,confirmation,8,0.5,1.0,2,0.193,0.202,0.1975,0.009000000000000008
03ef63db7584762143dc3914,confirmation,8,0.75,0.0,2,0.611,0.635,0.623,0.02400000000000002
03ef63db7584762143dc3914,confirmation,8,0.75,0.25,2,0.603,0.603,0.603,0.0
03ef63db7584762143dc3914,confirmation,8,0.75,0.5,2,0.573,0.576,0.5745,0.0030000000000000027
03ef63db7584762143dc3914,confirmation,8,0.75,1.0,2,0.206,0.212,0.209,0.006000000000000005
03ef63db7584762143dc3914,confirmation,8,1.0,0.0,2,0.624,0.64,0.632,0.016000000000000014
03ef63db7584762143dc3914,confirmation,8,1.0,0.25,2,0.623,0.625,0.624,0.0020000000000000018
03ef63db7584762143dc3914,confirmation,8,1.0,0.5,2,0.586,0.594,0.59,0.008000000000000007
03ef63db7584762143dc3914,confirmation,8,1.0,1.0,2,0.193,0.213,0.203,0.01999999999999999
03ef63db7584762143dc3914,confirmation,8,1.5,0.0,2,0.614,0.62,0.617,0.006000000000000005
03ef63db7584762143dc3914,confirmation,8,1.5,0.25,2,0.619,0.639,0.629,0.020000000000000018
03ef63db7584762143dc3914,confirmation,8,1.5,0.5,2,0.597,0.623,0.61,0.026000000000000023
03ef63db7584762143dc3914,confirmation,8,1.5,1.0,2,0.203,0.216,0.20950000000000002,0.012999999999999984
03ef63db7584762143dc3914,confirmation,8,2.0,0.0,2,0.62,0.623,0.6214999999999999,0.0030000000000000027
03ef63db7584762143dc3914,confirmation,8,2.0,0.25,2,0.612,0.658,0.635,0.04600000000000004
03ef63db7584762143dc3914,confirmation,8,2.0,0.5,2,0.626,0.627,0.6265000000000001,0.0010000000000000009
03ef63db7584762143dc3914,confirmation,8,2.0,1.0,2,0.186,0.198,0.192,0.01200000000000001
03ef63db7584762143dc3914,confirmation,10,0.0,0.0,2,0.0,0.0,0.0,0.0
03ef63db7584762143dc3914,confirmation,10,0.25,0.0,2,0.503,0.52,0.5115000000000001,0.017000000000000015
03ef63db7584762143dc3914,confirmation,10,0.25,0.25,2,0.521,0.54,0.5305,0.019000000000000017
