scenario_id,base_scenario_id,prospective_cluster_count,delta,control_response_lambda,replicates,master_seed,engineering_smoke,nested_campaign_prefix,scenario_semantics
CS-9cdec452ab473ede6f31cc2b,BS-2f1165e3814d64b754a1a278,12,0.5,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-7a3432b462cdb985387d56b2,BS-b7b55020470aa0011fae8c36,3,0.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-b26d3873d38e3b58eb8b2ce1,BS-b7b55020470aa0011fae8c36,4,0.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-5bfc9f849b7e97274949ad50,BS-b7b55020470aa0011fae8c36,5,0.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-8b713a6e577346855813da36,BS-b7b55020470aa0011fae8c36,6,0.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-4bcf69ea0b8f44690c2bef4b,BS-b7b55020470aa0011fae8c36,8,0.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-2f6946e9cb1069ea80c38ad6,BS-b7b55020470aa0011fae8c36,10,0.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-a3b665a430de820fcb70300a,BS-b7b55020470aa0011fae8c36,12,0.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-8a8b78ceddd10409d0e10435,BS-bb78dabdf033bd429a9980b0,3,0.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-0cdbdbc3f32746ff03ed0306,BS-bb78dabdf033bd429a9980b0,4,0.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-d520b33ad29d47499fa43050,BS-bb78dabdf033bd429a9980b0,5,0.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-7e75e8f66243c096c860fab0,BS-bb78dabdf033bd429a9980b0,6,0.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-c2bea8521361414c1730db9b,BS-bb78dabdf033bd429a9980b0,8,0.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-f36fa57d0e0eeba226ef24ac,BS-bb78dabdf033bd429a9980b0,10,0.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-9ae035c81e61f0131f36b99c,BS-bb78dabdf033bd429a9980b0,12,0.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-21ff57cb49b3b20809865313,BS-011a0c603aa10e8ed779f2d5,3,0.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-becec4487068c35fe760e16e,BS-011a0c603aa10e8ed779f2d5,4,0.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-4e74b3fd57dbd20349df082a,BS-011a0c603aa10e8ed779f2d5,5,0.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-5e961711656e8ed9af297611,BS-011a0c603aa10e8ed779f2d5,6,0.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-e89ab61a293779320f31e1f4,BS-011a0c603aa10e8ed779f2d5,8,0.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-7560d2b6345302d1c0919b06,BS-011a0c603aa10e8ed779f2d5,10,0.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-af463cd315e58a10ac9b6a20,BS-011a0c603aa10e8ed779f2d5,12,0.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-02d9a8c43576026b521e7252,BS-ffb5cea59a0eeab43b25edd6,3,0.75,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-613d6e11888af858f57ac8d9,BS-ffb5cea59a0eeab43b25edd6,4,0.75,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-dc608b4302a9b923709a3342,BS-ffb5cea59a0eeab43b25edd6,5,0.75,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-2cece79f2cfa1480011297d8,BS-ffb5cea59a0eeab43b25edd6,6,0.75,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-dbf7667c837a68a54df126dc,BS-ffb5cea59a0eeab43b25edd6,8,0.75,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-419f2eb25ad0a6b63f6db38f,BS-ffb5cea59a0eeab43b25edd6,10,0.75,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-21c5e25612d76002a17f832a,BS-ffb5cea59a0eeab43b25edd6,12,0.75,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-018950136999421cc06ba625,BS-fdf9aaf236c4b1e795e2a680,3,0.75,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-72223448bfb29dc53263d2ca,BS-fdf9aaf236c4b1e795e2a680,4,0.75,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-69115786d0ee6c442a1c003e,BS-fdf9aaf236c4b1e795e2a680,5,0.75,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-3044dce4350d8451f97c2a0a,BS-fdf9aaf236c4b1e795e2a680,6,0.75,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-85f44f9fdfcb466047e18719,BS-fdf9aaf236c4b1e795e2a680,8,0.75,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-adeb04a5cd53fb643218784f,BS-fdf9aaf236c4b1e795e2a680,10,0.75,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-df3fbc7ee6c82072f42dd06a,BS-fdf9aaf236c4b1e795e2a680,12,0.75,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-2daf6019ac8bd3dbf1484d89,BS-36275dd0a117d16dd0982de7,3,0.75,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-5a090f246f4b31f70d66f1f5,BS-36275dd0a117d16dd0982de7,4,0.75,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-7b1d29dde59d74fea94cde9d,BS-36275dd0a117d16dd0982de7,5,0.75,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-2bcb6c9633fa6035aeaadab8,BS-36275dd0a117d16dd0982de7,6,0.75,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-8472bef5a21c79135b7ac927,BS-36275dd0a117d16dd0982de7,8,0.75,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-cf0e5037bc507685b8c19a15,BS-36275dd0a117d16dd0982de7,10,0.75,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-a22d26be1bfb4e3ec63d145b,BS-36275dd0a117d16dd0982de7,12,0.75,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-6276c55922ffad43ff1f27b1,BS-984fc7b996a68b9acc730b5e,3,0.75,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-7f01e666e1e9df7c8d63b18b,BS-984fc7b996a68b9acc730b5e,4,0.75,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-fb9424388d04fbfec5e810a8,BS-984fc7b996a68b9acc730b5e,5,0.75,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-c6f19a1d0feac087cff3d71e,BS-984fc7b996a68b9acc730b5e,6,0.75,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-a23d0bc24812513adae875eb,BS-984fc7b996a68b9acc730b5e,8,0.75,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-0c4c212a7f2b2b36b0b368cd,BS-984fc7b996a68b9acc730b5e,10,0.75,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-802d14914994280fc314dcaa,BS-984fc7b996a68b9acc730b5e,12,0.75,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-9343b96fe495e9f8d6985b90,BS-d4112dec03bd16d785b972b8,3,1.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-7f8ab2cae145a937fe9d4888,BS-d4112dec03bd16d785b972b8,4,1.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-acf02a34b0944e4ce87f8512,BS-d4112dec03bd16d785b972b8,5,1.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-3821caaa69e4b49d78fed4ee,BS-d4112dec03bd16d785b972b8,6,1.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-e58d5475cbefcde321ca8f32,BS-d4112dec03bd16d785b972b8,8,1.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-1fbad2f3d474c7161c6aed57,BS-d4112dec03bd16d785b972b8,10,1.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-cdf84381328d7bbae5d39bd6,BS-d4112dec03bd16d785b972b8,12,1.0,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-1087abb19acba5a137d5c49f,BS-b31295a564809e9330eec836,3,1.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-d11a2f3fc87ab774a881221c,BS-b31295a564809e9330eec836,4,1.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-d6d4e6ce1cf7fb868f4cda3b,BS-b31295a564809e9330eec836,5,1.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-a75d577bcbd4168d304de91f,BS-b31295a564809e9330eec836,6,1.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-7eb2d2555a8c59beccba0186,BS-b31295a564809e9330eec836,8,1.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-3111a4cb89b710c90e33e14c,BS-b31295a564809e9330eec836,10,1.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-5fbd449f82f78780f63e5915,BS-b31295a564809e9330eec836,12,1.0,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-189f3644650138f926f6acff,BS-2825e630f4c5487cb997971a,3,1.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-c988f755b4d0ce1c020733bf,BS-2825e630f4c5487cb997971a,4,1.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-cbd0605eeece753e4109d0d8,BS-2825e630f4c5487cb997971a,5,1.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-9474dfcc844570e680eddc37,BS-2825e630f4c5487cb997971a,6,1.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-eaeedb0bfdb64f97bdc3d39c,BS-2825e630f4c5487cb997971a,8,1.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-58adf251636b2e36db9aa412,BS-2825e630f4c5487cb997971a,10,1.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-2bb220ebc48bb0e97892821f,BS-2825e630f4c5487cb997971a,12,1.0,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-5345bc53822e8ab5dd8794d7,BS-7b11bc1c6b07af88edb8068b,3,1.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-e5686b67b639290daf34a02f,BS-7b11bc1c6b07af88edb8068b,4,1.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-4cf0f7a7ba12d56bab2a716a,BS-7b11bc1c6b07af88edb8068b,5,1.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-9658e3a2e344abb6d6256bc1,BS-7b11bc1c6b07af88edb8068b,6,1.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-87b787af26c1dd0410d30b5e,BS-7b11bc1c6b07af88edb8068b,8,1.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-8e62f14383b7eae63cb3941d,BS-7b11bc1c6b07af88edb8068b,10,1.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-ff5eb1d146f8c26020914632,BS-7b11bc1c6b07af88edb8068b,12,1.0,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-3ddad9bd8208486d1c10d254,BS-eb4c5c34e89010c6f92d6af3,3,1.5,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-3282d5ef2391e6e093033d8a,BS-eb4c5c34e89010c6f92d6af3,4,1.5,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-6c519d13fc6b353934ba23c1,BS-eb4c5c34e89010c6f92d6af3,5,1.5,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-ea29477aaa5bc1b8e77060b3,BS-eb4c5c34e89010c6f92d6af3,6,1.5,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-2d25b22e4958e1fdbed4bb58,BS-eb4c5c34e89010c6f92d6af3,8,1.5,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-498d7127a97c66e5a084a6b4,BS-eb4c5c34e89010c6f92d6af3,10,1.5,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-02878cbd91abe9cbe95c52dd,BS-eb4c5c34e89010c6f92d6af3,12,1.5,0.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-d8165f86df18134e0c5a0c78,BS-0fbf8adee07e241802dbaac2,3,1.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-17bc9504e2970e6606ebb0dc,BS-0fbf8adee07e241802dbaac2,4,1.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-51d0bca1c623d77d2eaed39d,BS-0fbf8adee07e241802dbaac2,5,1.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-157bf8b5437cf8e8643acf68,BS-0fbf8adee07e241802dbaac2,6,1.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-7bb83384d69c0f9f409bea08,BS-0fbf8adee07e241802dbaac2,8,1.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-2b591601b228307264f5936c,BS-0fbf8adee07e241802dbaac2,10,1.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-32e4a7cfcaac31c70b5836ea,BS-0fbf8adee07e241802dbaac2,12,1.5,0.25,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-becdfa746b9a39d1602e7094,BS-a3427a0f910730161bf52fa0,3,1.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-cdb48e978401c75eb2992ba8,BS-a3427a0f910730161bf52fa0,4,1.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-f1fe22ea48ddc08f052f554e,BS-a3427a0f910730161bf52fa0,5,1.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-36ad53b91f50950930ff0d97,BS-a3427a0f910730161bf52fa0,6,1.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-ada512e491bb41406fe78da7,BS-a3427a0f910730161bf52fa0,8,1.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-52b36ba5cdf56e7763ec317d,BS-a3427a0f910730161bf52fa0,10,1.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-8add681a3baf4080d11155b6,BS-a3427a0f910730161bf52fa0,12,1.5,0.5,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-1b0f741fddcc947a12f11b5d,BS-01bc28268e93dc910e331392,3,1.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-c01e25b14002d3c5d804cca8,BS-01bc28268e93dc910e331392,4,1.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-3256be98c8765e7ae055618b,BS-01bc28268e93dc910e331392,5,1.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-96cff888761dd8445ee8bbdd,BS-01bc28268e93dc910e331392,6,1.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-98e70b148c0b0fc8876f154f,BS-01bc28268e93dc910e331392,8,1.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
CS-7f3b18b5a617f527a5b40d34,BS-01bc28268e93dc910e331392,10,1.5,1.0,1000,85200,False,True,prospective conditional gate passage under expanded object support
