partition,simulator_id,prospective_cluster_count,cluster_uncertainty_decision_status,replicate_count,replicate_share
discovery,joint_gaussian_regularized_cluster,4,exact_positive_certificate,37022,0.24681333333333333
discovery,joint_gaussian_regularized_cluster,4,mc_percentile_ambiguous_vector,9313,0.062086666666666665
discovery,joint_gaussian_regularized_cluster,4,exact_direction_failure,7528,0.050186666666666664
discovery,joint_gaussian_regularized_cluster,5,exact_insufficient_clusters,91660,0.6110666666666666
discovery,joint_gaussian_regularized_cluster,5,exact_positive_certificate,38695,0.2579666666666667
discovery,joint_gaussian_regularized_cluster,5,mc_percentile_ambiguous_vector,13729,0.09152666666666667
discovery,joint_gaussian_regularized_cluster,5,exact_direction_failure,5916,0.03944
discovery,joint_gaussian_regularized_cluster,6,exact_insufficient_clusters,88577,0.5905133333333333
discovery,joint_gaussian_regularized_cluster,6,exact_positive_certificate,39547,0.26364666666666664
discovery,joint_gaussian_regularized_cluster,6,mc_percentile_ambiguous_vector,16926,0.11284
discovery,joint_gaussian_regularized_cluster,6,exact_direction_failure,4950,0.033
discovery,joint_gaussian_regularized_cluster,8,exact_insufficient_clusters,84153,0.56102
discovery,joint_gaussian_regularized_cluster,8,exact_positive_certificate,40535,0.2702333333333333
discovery,joint_gaussian_regularized_cluster,8,mc_percentile_ambiguous_vector,21007,0.14004666666666668
discovery,joint_gaussian_regularized_cluster,8,exact_direction_failure,4305,0.0287
discovery,joint_gaussian_regularized_cluster,10,exact_insufficient_clusters,81088,0.5405866666666667
discovery,joint_gaussian_regularized_cluster,10,exact_positive_certificate,40900,0.27266666666666667
discovery,joint_gaussian_regularized_cluster,10,mc_percentile_ambiguous_vector,23849,0.15899333333333332
discovery,joint_gaussian_regularized_cluster,10,exact_direction_failure,4163,0.027753333333333335
discovery,joint_gaussian_regularized_cluster,12,exact_insufficient_clusters,78849,0.52566
discovery,joint_gaussian_regularized_cluster,12,exact_positive_certificate,40971,0.27314
discovery,joint_gaussian_regularized_cluster,12,mc_percentile_ambiguous_vector,26165,0.17443333333333333
discovery,joint_gaussian_regularized_cluster,12,exact_direction_failure,4015,0.026766666666666668
discovery,joint_wild_cluster_rademacher,3,exact_insufficient_clusters,103873,0.6924866666666667
discovery,joint_wild_cluster_rademacher,3,exact_positive_certificate,32949,0.21966
discovery,joint_wild_cluster_rademacher,3,exact_direction_failure,9099,0.06066
discovery,joint_wild_cluster_rademacher,3,mc_percentile_ambiguous_vector,4079,0.027193333333333333
discovery,joint_wild_cluster_rademacher,4,exact_insufficient_clusters,96005,0.6400333333333333
discovery,joint_wild_cluster_rademacher,4,exact_positive_certificate,37128,0.24752
discovery,joint_wild_cluster_rademacher,4,mc_percentile_ambiguous_vector,9347,0.06231333333333333
discovery,joint_wild_cluster_rademacher,4,exact_direction_failure,7520,0.050133333333333335
discovery,joint_wild_cluster_rademacher,5,exact_insufficient_clusters,91565,0.6104333333333334
discovery,joint_wild_cluster_rademacher,5,exact_positive_certificate,38931,0.25954
discovery,joint_wild_cluster_rademacher,5,mc_percentile_ambiguous_vector,13686,0.09124
discovery,joint_wild_cluster_rademacher,5,exact_direction_failure,5818,0.038786666666666664
discovery,joint_wild_cluster_rademacher,6,exact_insufficient_clusters,88663,0.5910866666666666
discovery,joint_wild_cluster_rademacher,6,exact_positive_certificate,39573,0.26382
discovery,joint_wild_cluster_rademacher,6,mc_percentile_ambiguous_vector,16896,0.11264
discovery,joint_wild_cluster_rademacher,6,exact_direction_failure,4868,0.032453333333333334
discovery,joint_wild_cluster_rademacher,8,exact_insufficient_clusters,84322,0.5621466666666667
discovery,joint_wild_cluster_rademacher,8,exact_positive_certificate,40471,0.26980666666666664
