entitlement_status,partition,simulator_id,prospective_cluster_count,delta,control_response_lambda,addresses,mean_gate_passage_probability,maximum_gate_passage_probability
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,0.75,0.5,3,0.11566666666666668,0.34
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,0.75,1.0,3,0.05666666666666667,0.164
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,1.0,0.0,3,0.14633333333333334,0.427
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,1.0,0.25,3,0.147,0.424
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,1.0,0.5,3,0.14166666666666666,0.415
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,1.0,1.0,3,0.072,0.21
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,1.5,0.0,3,0.18166666666666667,0.528
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,1.5,0.25,3,0.18766666666666668,0.544
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,1.5,0.5,3,0.18233333333333335,0.533
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,1.5,1.0,3,0.07,0.203
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,2.0,0.0,3,0.21133333333333335,0.62
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,2.0,0.25,3,0.20966666666666667,0.608
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,2.0,0.5,3,0.18433333333333335,0.545
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,5,2.0,1.0,3,0.072,0.211
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.0,0.0,3,0.0,0.0
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.0,3,0.029,0.084
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.25,3,0.028333333333333335,0.082
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.25,0.5,3,0.03333333333333333,0.093
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.25,1.0,3,0.025666666666666667,0.074
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.5,0.0,3,0.11066666666666668,0.314
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.5,0.25,3,0.11766666666666668,0.336
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.5,0.5,3,0.12000000000000001,0.335
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.5,1.0,3,0.06333333333333334,0.181
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.75,0.0,3,0.19233333333333336,0.543
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.75,0.25,3,0.18566666666666667,0.534
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.75,0.5,3,0.17933333333333334,0.52
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,0.75,1.0,3,0.08833333333333333,0.255
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,1.0,0.0,3,0.231,0.659
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,1.0,0.25,3,0.22766666666666668,0.645
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,1.0,0.5,3,0.21466666666666667,0.608
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,1.0,1.0,3,0.102,0.291
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,1.5,0.0,3,0.26933333333333337,0.774
fl3_entitled,confirmation,joint_gaussian_regularized_cluster,6,1.5,0.25,3,0.27033333333333337,0.773
