partition,simulator_id,prospective_cluster_count,control_response_lambda,delta,addresses,macro_mean_gate_passage_probability,minimum_address_probability,median_address_probability,maximum_address_probability
confirmation,joint_gaussian_regularized_cluster,5,0.0,0.75,6,0.09249999999999999,0.0,0.0115,0.347
confirmation,joint_gaussian_regularized_cluster,5,0.0,1.0,6,0.1065,0.0,0.0125,0.427
confirmation,joint_gaussian_regularized_cluster,5,0.0,1.5,6,0.12383333333333334,0.0,0.0145,0.528
confirmation,joint_gaussian_regularized_cluster,5,0.0,2.0,6,0.13783333333333334,0.0,0.013000000000000001,0.62
confirmation,joint_gaussian_regularized_cluster,5,0.25,0.25,6,0.018,0.0,0.0055,0.063
confirmation,joint_gaussian_regularized_cluster,5,0.25,0.5,6,0.06,0.0,0.010499999999999999,0.196
confirmation,joint_gaussian_regularized_cluster,5,0.25,0.75,6,0.08716666666666667,0.0,0.0115,0.334
confirmation,joint_gaussian_regularized_cluster,5,0.25,1.0,6,0.10383333333333333,0.0,0.015,0.424
confirmation,joint_gaussian_regularized_cluster,5,0.25,1.5,6,0.1275,0.0,0.0175,0.544
confirmation,joint_gaussian_regularized_cluster,5,0.25,2.0,6,0.13949999999999999,0.0,0.018500000000000003,0.608
confirmation,joint_gaussian_regularized_cluster,5,0.5,0.25,6,0.016833333333333336,0.0,0.003,0.056
confirmation,joint_gaussian_regularized_cluster,5,0.5,0.5,6,0.05583333333333334,0.0,0.0085,0.202
confirmation,joint_gaussian_regularized_cluster,5,0.5,0.75,6,0.08683333333333333,0.0,0.0135,0.34
confirmation,joint_gaussian_regularized_cluster,5,0.5,1.0,6,0.10133333333333333,0.0,0.010499999999999999,0.415
confirmation,joint_gaussian_regularized_cluster,5,0.5,1.5,6,0.12216666666666666,0.0,0.01,0.533
confirmation,joint_gaussian_regularized_cluster,5,0.5,2.0,6,0.12633333333333333,0.0,0.009000000000000001,0.545
confirmation,joint_gaussian_regularized_cluster,5,1.0,0.25,6,0.011666666666666667,0.0,0.0005,0.044
confirmation,joint_gaussian_regularized_cluster,5,1.0,0.5,6,0.03,0.0,0.0035,0.105
confirmation,joint_gaussian_regularized_cluster,5,1.0,0.75,6,0.0395,0.0,0.007,0.164
confirmation,joint_gaussian_regularized_cluster,5,1.0,1.0,6,0.04666666666666667,0.0,0.006,0.21
confirmation,joint_gaussian_regularized_cluster,5,1.0,1.5,6,0.045500000000000006,0.0,0.0035,0.203
confirmation,joint_gaussian_regularized_cluster,5,1.0,2.0,6,0.049166666666666664,0.0,0.005,0.211
confirmation,joint_gaussian_regularized_cluster,6,0.0,0.0,6,0.0,0.0,0.0,0.0
confirmation,joint_gaussian_regularized_cluster,6,0.0,0.25,6,0.0415,0.0,0.0155,0.134
confirmation,joint_gaussian_regularized_cluster,6,0.0,0.5,6,0.11033333333333332,0.0,0.026500000000000003,0.314
