scenario_id,base_scenario_id,address_id,record_id,support_id,relation,carrier,entitlement_status,partition,simulator_id,failure_predicate,prospective_cluster_count,minimum_attainable_exact_p,structurally_attainable,delta,control_response_lambda,replicates,overall_gate_pass_count,conditional_gate_passage_probability,monte_carlo_wilson_low,monte_carlo_wilson_high,empirically_passable,effective_resolution_attainable_count,effective_resolution_attainable_probability,support_available_pass_count,support_available_pass_probability,complement_admissible_pass_count,complement_admissible_pass_probability,effect_direction_reproduced_pass_count,effect_direction_reproduced_pass_probability,target_contrast_positive_pass_count,target_contrast_positive_pass_probability,minimum_effect_pass_count,minimum_effect_pass_probability,cluster_uncertainty_pass_count,cluster_uncertainty_pass_probability,raw_statistical_threshold_pass_count,raw_statistical_threshold_pass_probability,multiplicity_adjusted_threshold_pass_count,multiplicity_adjusted_threshold_pass_probability,control_adjusted_contrast_pass_count,control_adjusted_contrast_pass_probability,control_specificity_pass_count,control_specificity_pass_probability,mean_target_contrast,min_target_contrast,max_target_contrast,mean_target_response_from_simulated_null,min_target_response_from_simulated_null,max_target_response_from_simulated_null,mean_control_adjusted_contrast,min_control_adjusted_contrast,max_control_adjusted_contrast,mean_positive_control_adjusted_share,min_positive_control_adjusted_share,max_positive_control_adjusted_share,mean_bootstrap_ci_low,min_bootstrap_ci_low,max_bootstrap_ci_low,mean_bootstrap_positive_share,min_bootstrap_positive_share,max_bootstrap_positive_share,mean_direction_consistency,min_direction_consistency,max_direction_consistency,mean_independent_cluster_count,min_independent_cluster_count,max_independent_cluster_count,mean_raw_permutation_p,min_raw_permutation_p,max_raw_permutation_p,mean_source_template_unique_count,min_source_template_unique_count,max_source_template_unique_count,mean_source_template_reuse_fraction,min_source_template_reuse_fraction,max_source_template_reuse_fraction
CS-60825502233b89b1be20314b,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,6,0.015625,True,0.25,0.0,1000,134,0.134,0.11428107599412643,0.15652011121729995,True,318,0.318,1000,1.0,999,0.999,990,0.99,990,0.99,760,0.76,676,0.676,142,0.142,142,0.142,938,0.938,990,0.99,0.17243751465328755,0.0,0.6071428571428571,0.17243751465328755,0.0,0.6071428571428571,0.17243751465328755,0.0,0.6071428571428571,0.99,0.0,1.0,0.08048847680097725,0.0,0.6,0.9847143822973901,0.66845703125,1.0,0.9090583804143123,0.0,1.0,2.92,0.0,6.0,0.324890625,0.015625,1.0,3.307,2.0,4.0,0.44883333333333136,0.33333333333333337,0.6666666666666667
CS-c3a99d3f00478c06aaedf1e7,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,8,0.00390625,True,0.25,0.0,1000,310,0.31,0.28210764506522773,0.3393465231592832,True,593,0.593,1000,1.0,1000,1.0,1000,1.0,1000,1.0,825,0.825,781,0.781,338,0.338,338,0.338,960,0.96,1000,1.0,0.17371360003312739,0.013333333333333334,0.625,0.17371360003312739,0.013333333333333334,0.625,0.17371360003312739,0.013333333333333334,0.625,1.0,1.0,1.0,0.07059497732426348,0.0,0.48333333333333334,0.9818348214285715,0.65625,1.0,0.949767293748775,0.0,1.0,3.882,0.0,8.0,0.19984375,0.00390625,1.0,3.594,2.0,4.0,0.55075,0.5,0.75
CS-2098eae7ab7aed0edbbd7903,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,10,0.0009765625,True,0.25,0.0,1000,503,0.503,0.4720586747142764,0.5339183647348104,True,812,0.812,1000,1.0,1000,1.0,1000,1.0,1000,1.0,873,0.873,861,0.861,539,0.539,539,0.539,978,0.978,1000,1.0,0.17353454049714526,0.009523809523809523,0.5474747474747476,0.17353454049714526,0.009523809523809523,0.5474747474747476,0.17353454049714526,0.009523809523809523,0.5474747474747476,1.0,1.0,1.0,0.06724003446115319,0.0,0.5,0.9857283100328947,0.65625,1.0,0.9809354432830042,0.0,1.0,4.853,0.0,10.0,0.131623046875,0.001953125,1.0,3.758,2.0,4.0,0.6242000000000092,0.6,0.8
CS-9b95a29717cdd20543e1d887,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,12,0.000244140625,True,0.25,0.0,1000,659,0.659,0.6290604090928602,0.6877226817087334,True,919,0.919,1000,1.0,1000,1.0,1000,1.0,1000,1.0,888,0.888,918,0.918,714,0.714,714,0.714,989,0.989,1000,1.0,0.17342709905088344,0.025641025641025644,0.4666666666666666,0.17342709905088344,0.025641025641025644,0.4666666666666666,0.17342709905088344,0.025641025641025644,0.4666666666666666,1.0,1.0,1.0,0.06792035610600682,0.0,0.48333333333333334,0.9907356106505102,0.650390625,1.0,0.9917169684775318,0.0,1.0,5.836,1.0,11.0,0.08604296875,0.001953125,1.0,3.86,2.0,4.0,0.67833333333333,0.6666666666666667,0.8333333333333334
CS-21e6ce41260fe8dd82a4d364,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.125,False,0.5,0.0,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,False,0,0.0,1000,1.0,891,0.891,951,0.951,951,0.951,894,0.894,468,0.468,0,0.0,0,0.0,948,0.948,951,0.951,0.3168416561383712,0.0,1.0,0.3168416561383712,0.0,1.0,0.3168416561383712,0.0,1.0,0.9763860369609856,0.0,1.0,0.19293684710351391,0.022222222222222223,0.7000000000000001,0.9986770499465812,0.95556640625,1.0,0.9444444444444445,0.0,1.0,1.528,0.0,3.0,0.60975,0.125,1.0,2.321,1.0,3.0,0.2263333333333349,0.0,0.6666666666666667
CS-11ed356dc28d7862b49a4164,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,4,0.0625,True,0.5,0.0,1000,49,0.049,0.037261034647360615,0.06419070150661013,True,63,0.063,1000,1.0,947,0.947,978,0.978,978,0.978,923,0.923,649,0.649,49,0.049,49,0.049,970,0.97,978,0.978,0.31328169292207914,0.0,0.875,0.31328169292207914,0.0,0.875,0.31328169292207914,0.0,0.875,0.9878787878787879,0.0,1.0,0.180051282051282,0.0,0.7,0.9975646033653847,0.93212890625,1.0,0.956868260665729,0.0,1.0,2.025,0.0,4.0,0.4470625,0.0625,1.0,2.731,1.0,4.0,0.31725,0.0,0.75
CS-251cb4368c6dd09357860ea9,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,5,0.03125,True,0.5,0.0,1000,149,0.149,0.12827436093693598,0.1724120235199237,True,186,0.186,1000,1.0,978,0.978,993,0.993,993,0.993,963,0.963,768,0.768,149,0.149,149,0.149,987,0.987,993,0.993,0.313893132330829,0.0,0.7648809523809524,0.313893132330829,0.0,0.7648809523809524,0.313893132330829,0.0,0.7648809523809524,0.9949899799599199,0.0,1.0,0.16894762881404685,0.0,0.7,0.997112056751943,0.6806640625,1.0,0.9662842190016103,0.0,1.0,2.52,0.0,5.0,0.3275625,0.03125,1.0,3.016,1.0,4.0,0.3967999999999966,0.19999999999999996,0.8
CS-8939da1f238eeead62b68c8b,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,6,0.015625,True,0.5,0.0,1000,295,0.295,0.26756241055666713,0.32400656042241044,True,354,0.354,1000,1.0,996,0.996,998,0.998,998,0.998,982,0.982,850,0.85,296,0.296,296,0.296,997,0.997,998,0.998,0.3158409090092639,0.0,0.75,0.3158409090092639,0.0,0.75,0.3158409090092639,0.0,0.75,0.998,0.0,1.0,0.15595652033151988,0.0,0.7,0.9961529356060606,0.6826171875,1.0,0.9806397306397306,0.0,1.0,3.03,0.0,6.0,0.244296875,0.015625,1.0,3.257,1.0,4.0,0.4571666666666651,0.33333333333333337,0.8333333333333334
CS-5ea95972cdedc30f176eb514,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,8,0.00390625,True,0.5,0.0,1000,578,0.578,0.5471483343234702,0.6082546913527831,True,659,0.659,1000,1.0,1000,1.0,999,0.999,999,0.999,994,0.994,939,0.939,578,0.578,578,0.578,999,0.999,999,0.999,0.31538699405687665,0.0,0.6535947712418301,0.31538699405687665,0.0,0.6535947712418301,0.31538699405687665,0.0,0.6535947712418301,0.999,0.0,1.0,0.13621643116944038,0.0,0.7,0.9974168014123548,0.67822265625,1.0,0.9905774550484093,0.0,1.0,4.039,0.0,8.0,0.1315,0.00390625,1.0,3.579,2.0,4.0,0.552625,0.5,0.75
CS-1a99d52229a40dbae9a187aa,BS-2f1165e3814d64b754a1a278,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,10,0.0009765625,True,0.5,0.0,1000,786,0.786,0.7595111793607143,0.8102999147855483,True,848,0.848,1000,1.0,1000,1.0,1000,1.0,1000,1.0,999,0.999,980,0.98,787,0.787,787,0.787,1000,1.0,1000,1.0,0.3149275901588973,0.08832565284178188,0.638888888888889,0.3149275901588973,0.08832565284178188,0.638888888888889,0.3149275901588973,0.08832565284178188,0.638888888888889,1.0,1.0,1.0,0.12922512496377825,0.0,0.7,0.9986223139579108,0.91943359375,1.0,0.9974747474747475,0.0,1.0,5.048,0.0,10.0,0.0706181640625,0.0009765625,1.0,3.764,2.0,4.0,0.6236000000000091,0.6,0.8
