scenario_id,address_id,partition,simulator_id,prospective_cluster_count,delta,control_response_lambda,replicates,gate_name,gate_order,pass_probability,failure_probability
CS-52e9680d64ce3df80c1680a8,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,8,0.0,0.0,1000,control_specificity_pass,10,0.0,1.0
CS-35f8141814fa04506a6884d6,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,1000,support_available_pass,1,1.0,0.0
CS-35f8141814fa04506a6884d6,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,1000,complement_admissible_pass,2,1.0,0.0
CS-35f8141814fa04506a6884d6,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,1000,effect_direction_reproduced_pass,3,0.0,1.0
CS-35f8141814fa04506a6884d6,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,1000,target_contrast_positive_pass,4,0.0,1.0
CS-35f8141814fa04506a6884d6,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,1000,minimum_effect_pass,5,0.0,1.0
CS-35f8141814fa04506a6884d6,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,1000,cluster_uncertainty_pass,6,0.0,1.0
CS-35f8141814fa04506a6884d6,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,1000,raw_statistical_threshold_pass,7,0.0,1.0
CS-35f8141814fa04506a6884d6,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,1000,multiplicity_adjusted_threshold_pass,8,0.0,1.0
CS-35f8141814fa04506a6884d6,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,1000,control_adjusted_contrast_pass,9,0.0,1.0
CS-35f8141814fa04506a6884d6,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,10,0.0,0.0,1000,control_specificity_pass,10,0.0,1.0
CS-936e7c784a1c0bfe0c0ec1c8,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.0,0.0,1000,support_available_pass,1,1.0,0.0
CS-936e7c784a1c0bfe0c0ec1c8,03ef63db7584762143dc3914,confirmation,joint_gaussian_regularized_cluster,12,0.0,0.0,1000,complement_admissible_pass,2,1.0,0.0
