address_id,partition,simulator_id,prospective_cluster_count,mean_unique_source_templates,minimum_unique_source_templates,maximum_unique_source_templates,mean_template_reuse_fraction,mean_effective_clusters,minimum_effective_clusters,maximum_effective_clusters
1cce3e5fe7c50070e58676c9,confirmation,joint_wild_cluster_rademacher,5,3.05224,1.0,4.0,0.38955199999999623,0.0,0.0,0.0
1cce3e5fe7c50070e58676c9,confirmation,joint_wild_cluster_rademacher,6,3.28752,1.0,4.0,0.45207999999999826,0.0,0.0,0.0
1cce3e5fe7c50070e58676c9,confirmation,joint_wild_cluster_rademacher,8,3.6003600000000002,2.0,4.0,0.549955,0.0,0.0,0.0
1cce3e5fe7c50070e58676c9,confirmation,joint_wild_cluster_rademacher,10,3.7744799999999996,2.0,4.0,0.6225520000000094,0.0,0.0,0.0
1cce3e5fe7c50070e58676c9,confirmation,joint_wild_cluster_rademacher,12,3.87332,2.0,4.0,0.6772233333333303,0.0,0.0,0.0
1cce3e5fe7c50070e58676c9,discovery,joint_gaussian_regularized_cluster,3,2.30932,1.0,3.0,0.2302266666666682,0.7502800000000001,0.0,3.0
1cce3e5fe7c50070e58676c9,discovery,joint_gaussian_regularized_cluster,4,2.73784,1.0,4.0,0.31554,0.99952,0.0,4.0
1cce3e5fe7c50070e58676c9,discovery,joint_gaussian_regularized_cluster,5,3.05272,1.0,4.0,0.38945599999999625,1.2472400000000001,0.0,5.0
1cce3e5fe7c50070e58676c9,discovery,joint_gaussian_regularized_cluster,6,3.2886,1.0,4.0,0.4518999999999982,1.49976,0.0,6.0
1cce3e5fe7c50070e58676c9,discovery,joint_gaussian_regularized_cluster,8,3.60296,1.0,4.0,0.5496300000000001,2.00232,0.0,7.0
1cce3e5fe7c50070e58676c9,discovery,joint_gaussian_regularized_cluster,10,3.7746399999999998,2.0,4.0,0.6225360000000094,2.49696,0.0,8.0
1cce3e5fe7c50070e58676c9,discovery,joint_gaussian_regularized_cluster,12,3.87404,2.0,4.0,0.6771633333333301,3.00204,0.0,10.0
1cce3e5fe7c50070e58676c9,discovery,joint_wild_cluster_rademacher,3,2.31708,1.0,3.0,0.22764000000000156,0.74992,0.0,3.0
1cce3e5fe7c50070e58676c9,discovery,joint_wild_cluster_rademacher,4,2.7406400000000004,1.0,4.0,0.31484,0.9986,0.0,4.0
1cce3e5fe7c50070e58676c9,discovery,joint_wild_cluster_rademacher,5,3.05324,1.0,4.0,0.38935199999999626,1.2496800000000001,0.0,5.0
1cce3e5fe7c50070e58676c9,discovery,joint_wild_cluster_rademacher,6,3.29192,1.0,4.0,0.4513466666666649,1.49496,0.0,6.0
1cce3e5fe7c50070e58676c9,discovery,joint_wild_cluster_rademacher,8,3.6011599999999997,2.0,4.0,0.549855,1.98608,0.0,7.0
1cce3e5fe7c50070e58676c9,discovery,joint_wild_cluster_rademacher,10,3.77912,2.0,4.0,0.6220880000000095,2.48636,0.0,9.0
1cce3e5fe7c50070e58676c9,discovery,joint_wild_cluster_rademacher,12,3.87584,2.0,4.0,0.6770133333333304,2.987,0.0,10.0
1dbc920edffba9363b404b4e,confirmation,joint_gaussian_regularized_cluster,3,2.31024,1.0,3.0,0.22992000000000157,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_gaussian_regularized_cluster,4,2.7358800000000003,1.0,4.0,0.31603,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_gaussian_regularized_cluster,5,3.05404,1.0,4.0,0.38919199999999626,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_gaussian_regularized_cluster,6,3.29048,1.0,4.0,0.4515866666666649,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_gaussian_regularized_cluster,8,3.6044799999999997,1.0,4.0,0.54944,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_gaussian_regularized_cluster,10,3.7793200000000002,2.0,4.0,0.6220680000000095,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_gaussian_regularized_cluster,12,3.8765199999999997,2.0,4.0,0.6769566666666635,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_wild_cluster_rademacher,3,2.31364,1.0,3.0,0.22878666666666825,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_wild_cluster_rademacher,4,2.7337599999999997,1.0,4.0,0.31656,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_wild_cluster_rademacher,5,3.057,1.0,4.0,0.3885999999999963,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_wild_cluster_rademacher,6,3.2956,1.0,4.0,0.45073333333333154,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_wild_cluster_rademacher,8,3.6044400000000003,1.0,4.0,0.549445,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_wild_cluster_rademacher,10,3.77996,2.0,4.0,0.6220040000000094,0.0,0.0,0.0
1dbc920edffba9363b404b4e,confirmation,joint_wild_cluster_rademacher,12,3.8754000000000004,2.0,4.0,0.677049999999997,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_gaussian_regularized_cluster,3,2.3148400000000002,1.0,3.0,0.2283866666666682,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_gaussian_regularized_cluster,4,2.73404,1.0,4.0,0.31649,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_gaussian_regularized_cluster,5,3.04796,1.0,4.0,0.3904079999999962,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_gaussian_regularized_cluster,6,3.29012,1.0,4.0,0.45164666666666486,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_gaussian_regularized_cluster,8,3.6016000000000004,1.0,4.0,0.5498,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_gaussian_regularized_cluster,10,3.77928,2.0,4.0,0.6220720000000095,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_gaussian_regularized_cluster,12,3.878,2.0,4.0,0.6768333333333303,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_wild_cluster_rademacher,3,2.31836,1.0,3.0,0.22721333333333482,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_wild_cluster_rademacher,4,2.74084,1.0,4.0,0.31479,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_wild_cluster_rademacher,5,3.05272,1.0,4.0,0.3894559999999963,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_wild_cluster_rademacher,6,3.29392,1.0,4.0,0.4510133333333316,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_wild_cluster_rademacher,8,3.6020799999999995,1.0,4.0,0.54974,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_wild_cluster_rademacher,10,3.77372,2.0,4.0,0.6226280000000094,0.0,0.0,0.0
1dbc920edffba9363b404b4e,discovery,joint_wild_cluster_rademacher,12,3.8714,2.0,4.0,0.6773833333333301,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,confirmation,joint_gaussian_regularized_cluster,3,2.31804,1.0,3.0,0.22732000000000155,0.75312,0.0,3.0
bfa569fbae807b7f50c3389f,confirmation,joint_gaussian_regularized_cluster,4,2.73524,1.0,4.0,0.31618999999999997,1.00248,0.0,4.0
bfa569fbae807b7f50c3389f,confirmation,joint_gaussian_regularized_cluster,5,3.0570799999999996,1.0,4.0,0.38858399999999627,1.24904,0.0,5.0
bfa569fbae807b7f50c3389f,confirmation,joint_gaussian_regularized_cluster,6,3.29468,1.0,4.0,0.4508866666666648,1.50092,0.0,6.0
bfa569fbae807b7f50c3389f,confirmation,joint_gaussian_regularized_cluster,8,3.60312,1.0,4.0,0.5496099999999999,2.00372,0.0,7.0
bfa569fbae807b7f50c3389f,confirmation,joint_gaussian_regularized_cluster,10,3.7781599999999997,2.0,4.0,0.6221840000000095,2.50188,0.0,9.0
bfa569fbae807b7f50c3389f,confirmation,joint_gaussian_regularized_cluster,12,3.87536,2.0,4.0,0.6770533333333303,3.00184,0.0,9.0
bfa569fbae807b7f50c3389f,confirmation,joint_wild_cluster_rademacher,3,2.31324,1.0,3.0,0.2289200000000015,0.7557200000000001,0.0,3.0
bfa569fbae807b7f50c3389f,confirmation,joint_wild_cluster_rademacher,4,2.73176,1.0,4.0,0.31706,1.00572,0.0,4.0
bfa569fbae807b7f50c3389f,confirmation,joint_wild_cluster_rademacher,5,3.04536,1.0,4.0,0.3909279999999963,1.2547199999999998,0.0,5.0
bfa569fbae807b7f50c3389f,confirmation,joint_wild_cluster_rademacher,6,3.28168,1.0,4.0,0.4530533333333316,1.50636,0.0,6.0
bfa569fbae807b7f50c3389f,confirmation,joint_wild_cluster_rademacher,8,3.5966000000000005,2.0,4.0,0.5504249999999999,2.00172,0.0,7.0
bfa569fbae807b7f50c3389f,confirmation,joint_wild_cluster_rademacher,10,3.77128,2.0,4.0,0.6228720000000094,2.50216,0.0,8.0
bfa569fbae807b7f50c3389f,confirmation,joint_wild_cluster_rademacher,12,3.87148,2.0,4.0,0.6773766666666635,3.00416,0.0,9.0
bfa569fbae807b7f50c3389f,discovery,joint_gaussian_regularized_cluster,3,2.313,1.0,3.0,0.22900000000000154,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_gaussian_regularized_cluster,4,2.73772,1.0,4.0,0.31556999999999996,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_gaussian_regularized_cluster,5,3.0506,1.0,4.0,0.3898799999999963,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_gaussian_regularized_cluster,6,3.2861599999999997,1.0,4.0,0.4523066666666649,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_gaussian_regularized_cluster,8,3.6003600000000002,1.0,4.0,0.549955,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_gaussian_regularized_cluster,10,3.77744,2.0,4.0,0.6222560000000094,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_gaussian_regularized_cluster,12,3.8762,2.0,4.0,0.6769833333333303,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_wild_cluster_rademacher,3,2.3204399999999996,1.0,3.0,0.2265200000000015,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_wild_cluster_rademacher,4,2.73848,1.0,4.0,0.31538,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_wild_cluster_rademacher,5,3.05592,1.0,4.0,0.3888159999999962,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_wild_cluster_rademacher,6,3.2946,1.0,4.0,0.4508999999999982,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_wild_cluster_rademacher,8,3.6064800000000004,1.0,4.0,0.54919,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_wild_cluster_rademacher,10,3.77988,2.0,4.0,0.6220120000000096,0.0,0.0,0.0
bfa569fbae807b7f50c3389f,discovery,joint_wild_cluster_rademacher,12,3.8755200000000003,2.0,4.0,0.677039999999997,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_gaussian_regularized_cluster,3,2.31168,1.0,3.0,0.22944000000000156,0.7438800000000001,0.0,3.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_gaussian_regularized_cluster,4,2.73564,1.0,4.0,0.31609,0.9941199999999999,0.0,4.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_gaussian_regularized_cluster,5,3.05308,1.0,4.0,0.38938399999999623,1.24404,0.0,5.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_gaussian_regularized_cluster,6,3.2906400000000002,1.0,4.0,0.4515599999999983,1.4918799999999999,0.0,6.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_gaussian_regularized_cluster,8,3.6001999999999996,1.0,4.0,0.549975,1.99352,0.0,8.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_gaussian_regularized_cluster,10,3.77476,2.0,4.0,0.6225240000000095,2.4888,0.0,9.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_gaussian_regularized_cluster,12,3.87264,2.0,4.0,0.677279999999997,2.9825999999999997,0.0,10.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_wild_cluster_rademacher,3,2.3096799999999997,1.0,3.0,0.2301066666666682,0.7532800000000001,0.0,3.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_wild_cluster_rademacher,4,2.72776,1.0,4.0,0.31806,1.00628,0.0,4.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_wild_cluster_rademacher,5,3.04224,1.0,4.0,0.39155199999999624,1.25044,0.0,5.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_wild_cluster_rademacher,6,3.28436,1.0,4.0,0.45260666666666494,1.50536,0.0,6.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_wild_cluster_rademacher,8,3.5966000000000005,1.0,4.0,0.5504249999999999,2.0010399999999997,0.0,7.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_wild_cluster_rademacher,10,3.77124,2.0,4.0,0.6228760000000093,2.49748,0.0,9.0
d10b3aec4edc47fefb2bd92f,confirmation,joint_wild_cluster_rademacher,12,3.87212,2.0,4.0,0.6773233333333303,2.99812,0.0,10.0
d10b3aec4edc47fefb2bd92f,discovery,joint_gaussian_regularized_cluster,3,2.31988,1.0,3.0,0.2267066666666682,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_gaussian_regularized_cluster,4,2.7384399999999998,1.0,4.0,0.31539,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_gaussian_regularized_cluster,5,3.0548,1.0,4.0,0.3890399999999964,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_gaussian_regularized_cluster,6,3.29284,1.0,4.0,0.4511933333333315,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_gaussian_regularized_cluster,8,3.6069600000000004,1.0,4.0,0.54913,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_gaussian_regularized_cluster,10,3.7802,1.0,4.0,0.6219800000000095,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_gaussian_regularized_cluster,12,3.877,2.0,4.0,0.6769166666666636,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_wild_cluster_rademacher,3,2.32412,1.0,3.0,0.22529333333333482,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_wild_cluster_rademacher,4,2.7480399999999996,1.0,4.0,0.31299,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_wild_cluster_rademacher,5,3.0598,1.0,4.0,0.38803999999999633,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_wild_cluster_rademacher,6,3.29912,1.0,4.0,0.4501466666666649,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_wild_cluster_rademacher,8,3.6048,2.0,4.0,0.5494,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_wild_cluster_rademacher,10,3.7788799999999996,2.0,4.0,0.6221120000000097,0.0,0.0,0.0
d10b3aec4edc47fefb2bd92f,discovery,joint_wild_cluster_rademacher,12,3.8764800000000004,2.0,4.0,0.676959999999997,0.0,0.0,0.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_gaussian_regularized_cluster,3,2.3111599999999997,1.0,3.0,0.2296133333333349,2.247,0.0,3.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_gaussian_regularized_cluster,4,2.73964,1.0,4.0,0.31509,3.00392,0.0,4.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_gaussian_regularized_cluster,5,3.05716,1.0,4.0,0.38856799999999625,3.75188,0.0,5.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_gaussian_regularized_cluster,6,3.29616,1.0,4.0,0.45063999999999815,4.50472,0.0,6.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_gaussian_regularized_cluster,8,3.6028000000000002,1.0,4.0,0.5496500000000001,6.0030399999999995,1.0,8.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_gaussian_regularized_cluster,10,3.7759199999999997,2.0,4.0,0.6224080000000095,7.49716,2.0,10.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_gaussian_regularized_cluster,12,3.87616,2.0,4.0,0.6769866666666637,8.99536,3.0,12.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_wild_cluster_rademacher,3,2.3087999999999997,1.0,3.0,0.2304000000000016,2.2490799999999997,0.0,3.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_wild_cluster_rademacher,4,2.73444,1.0,4.0,0.31639,2.99704,0.0,4.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_wild_cluster_rademacher,5,3.05556,1.0,4.0,0.38888799999999635,3.74764,0.0,5.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_wild_cluster_rademacher,6,3.29312,1.0,4.0,0.45114666666666486,4.4988,0.0,6.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_wild_cluster_rademacher,8,3.60108,1.0,4.0,0.549865,5.99496,1.0,8.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_wild_cluster_rademacher,10,3.7738400000000003,2.0,4.0,0.6226160000000093,7.49164,2.0,10.0
fe17c18b39eb86c6e9f982bd,confirmation,joint_wild_cluster_rademacher,12,3.8714,2.0,4.0,0.6773833333333303,8.98644,3.0,12.0
fe17c18b39eb86c6e9f982bd,discovery,joint_gaussian_regularized_cluster,3,2.31692,1.0,3.0,0.22769333333333489,2.24224,0.0,3.0
fe17c18b39eb86c6e9f982bd,discovery,joint_gaussian_regularized_cluster,4,2.7384,1.0,4.0,0.3154,2.9859199999999997,0.0,4.0
fe17c18b39eb86c6e9f982bd,discovery,joint_gaussian_regularized_cluster,5,3.05224,1.0,4.0,0.38955199999999623,3.7379599999999997,0.0,5.0
fe17c18b39eb86c6e9f982bd,discovery,joint_gaussian_regularized_cluster,6,3.28704,1.0,4.0,0.45215999999999823,4.48892,0.0,6.0
fe17c18b39eb86c6e9f982bd,discovery,joint_gaussian_regularized_cluster,8,3.60024,1.0,4.0,0.54997,5.97896,0.0,8.0
fe17c18b39eb86c6e9f982bd,discovery,joint_gaussian_regularized_cluster,10,3.775,2.0,4.0,0.6225000000000095,7.47776,1.0,10.0
fe17c18b39eb86c6e9f982bd,discovery,joint_gaussian_regularized_cluster,12,3.8720800000000004,2.0,4.0,0.6773266666666636,8.973239999999999,2.0,12.0
fe17c18b39eb86c6e9f982bd,discovery,joint_wild_cluster_rademacher,3,2.3150399999999998,1.0,3.0,0.2283200000000015,2.2498,0.0,3.0
fe17c18b39eb86c6e9f982bd,discovery,joint_wild_cluster_rademacher,4,2.73452,1.0,4.0,0.31637,3.00084,0.0,4.0
fe17c18b39eb86c6e9f982bd,discovery,joint_wild_cluster_rademacher,5,3.05212,1.0,4.0,0.3895759999999962,3.7515199999999997,0.0,5.0
fe17c18b39eb86c6e9f982bd,discovery,joint_wild_cluster_rademacher,6,3.29016,1.0,4.0,0.45163999999999827,4.50324,0.0,6.0
fe17c18b39eb86c6e9f982bd,discovery,joint_wild_cluster_rademacher,8,3.5997199999999996,1.0,4.0,0.550035,6.00812,1.0,8.0
fe17c18b39eb86c6e9f982bd,discovery,joint_wild_cluster_rademacher,10,3.77456,2.0,4.0,0.6225440000000095,7.51,2.0,10.0
fe17c18b39eb86c6e9f982bd,discovery,joint_wild_cluster_rademacher,12,3.8734800000000003,2.0,4.0,0.6772099999999969,9.01176,3.0,12.0
