input_name,input_path,exists,rows,columns,required_columns_present,missing_columns,used_for_dimensions,notes
rig_relation_registry,outputs/rig_registry/rig_relation_registry.csv,True,24,relation_id;task;carrier;carrier_role;carrier_role_detail;rig_status;rig_status_rank;threshold;baseline;obs080c_carrier_ba;obs080d_carrier_mean_ba;obs080d_carrier_min_ci95_low;obs080d_carrier_min_p_above_threshold;task_geometry_needed_level;task_geometry_needed_label;task_geometry_needed_rationale;failure_notes;repair_recommendation;repair_rationale;n_survival_rows;mean_survival_score;min_survival_score;numeric_transform_n;numeric_transform_mean_score;numeric_transform_min_score;numeric_transform_status;scale_band_n;scale_band_mean_score;scale_band_min_score;scale_band_status;feature_family_n;feature_family_mean_score;feature_family_min_score;feature_family_status;structural_resampling_n;structural_resampling_mean_score;structural_resampling_min_score;structural_resampling_status;level_1_stability_core_ba;level_3_geometry_ba;level_4_paths_ba;level_3_stability_plus_geometry_ba;level_5_no_window_ba;level_5_strict_numeric_ba;obs080d_core_mean_ba;obs080d_core_min_ci95_low;obs080d_core_min_p_above_threshold;feature_family;tested_count;geometry_level;minimal_sufficient_geometry,relation_id;task,,base records; task normalization; OBS-081 v2 carrier/survival evidence; rig_status metadata,
rig_survival_matrix,outputs/rig_registry/rig_survival_matrix.csv,True,256,relation_id;obs;contract_family;contract_name;task;feature_contract;carrier_role;score;threshold;status;source_path;best_model;best_scheme;stratified_cv_best_ba;leave_object_out_best_ba;leave_cohort_out_best_ba;leave_transition_out_best_ba;ci_low;p_above_threshold;failure_rate;n_success;n_fail;feature_family;rig_status;failure_location;carrier,relation_id;task,passed,optional D1 aggregate survival-matrix fallback; tested/survival/failure counts,
rig_failure_localization,outputs/rig_registry/rig_failure_localization.csv,True,29,relation_id;task;feature_contract;carrier_role;contract_family;contract_name;score;threshold;margin;status;failure_type;feature_family;rig_status;failure_mode;failure_location;carrier,relation_id;task,,D2 failure localization; failure inventory,
rig_geometry_needed_ladder,outputs/rig_registry/rig_geometry_needed_ladder.csv,True,24,relation_id;task;carrier;carrier_role;carrier_role_detail;task_geometry_needed_level;task_geometry_needed_label;task_geometry_needed_rationale;level_1_stability_core_ba;level_3_geometry_ba;level_4_paths_ba;level_3_stability_plus_geometry_ba;level_5_no_window_ba;level_5_strict_numeric_ba;feature_family;geometry_level;minimal_sufficient_geometry;rig_status,relation_id;task,geometry_needed,D4 geometry sufficiency,
rig_repair_recommendations,outputs/rig_registry/rig_repair_recommendations.csv,True,24,relation_id;task;carrier;carrier_role;rig_status;repair_recommendation;repair_rationale;failure_notes;feature_family,relation_id;task,,D3 repair specificity,
