relation_id,task,carrier,feature_family,rig_status,readiness_score,readiness_class,readiness_blockers,readiness_limiter,score_basis,invariance_strength_score,failure_localization_score,repair_specificity_score,geometry_sufficiency_score,carrier_convergence_score,negative_control_contrast_score,survival_rate,tested_count,survival_count,failure_count,n_carriers_tested,n_carriers_survived,carrier_survival_rate,dominant_failure_mode,failure_localization_basis,repair_recommendation,repair_type,repair_specificity_basis,geometry_level,minimal_sufficient_geometry,geometry_sufficiency_basis,negative_control_group,negative_control_reference_score,negative_control_contrast,audit_notes
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_scores_only,weak_redundant_carrier,0.7271490448362037,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9456003308059068,0.35,0.5,1.0,1.0,0.1324896213472706,0.9456003308059068,7.0,6.619202315641347,0.3807976843586527,6,6,1.0,object_support_sensitivity,distinct_failure_type_concentration_more_than_3_types,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8891283765531567,0.0662448106736353,artifact_scoped_intervention_readiness_audit
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_shares_only,weak_redundant_carrier,0.7134619484784163,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.915184561121935,0.35,0.5,1.0,1.0,0.0716580819793271,0.915184561121935,7.0,6.4062919278535455,0.5937080721464545,6,6,1.0,object_support_sensitivity,distinct_failure_type_concentration_more_than_3_types,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8891283765531567,0.03582904098966355,artifact_scoped_intervention_readiness_audit
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,geometry_scores_only,redundant_reusable_invariant,0.7512212284698526,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.999094072214016,0.35,0.5,1.0,1.0,0.2394771041634891,0.999094072214016,7.0,6.993658505498113,0.006341494501887368,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.11973855208174455,artifact_scoped_intervention_readiness_audit
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,no_window,redundant_reusable_invariant,0.7516288959735455,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,1.0,0.35,0.5,1.0,1.0,0.24128895973545705,1.0,7.0,7.0,0.0,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.12064447986772853,artifact_scoped_intervention_readiness_audit
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,path_shares_only,redundant_reusable_invariant,0.7160897931953967,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.921024216048558,0.35,0.5,1.0,1.0,0.08333739183257305,0.921024216048558,7.0,6.447169512339906,0.5528304876600938,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.041668695916286524,artifact_scoped_intervention_readiness_audit
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,stability_plus_geometry,redundant_reusable_invariant,0.7497477450106559,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9958196645269116,0.35,0.5,1.0,1.0,0.2329282887892803,0.9958196645269116,7.0,6.970737651688381,0.02926234831161878,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.11646414439464015,artifact_scoped_intervention_readiness_audit
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,strict_numeric_all,redundant_reusable_invariant,0.7516288959735455,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,1.0,0.35,0.5,1.0,1.0,0.24128895973545705,1.0,7.0,7.0,0.0,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.12064447986772853,artifact_scoped_intervention_readiness_audit
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,stability_core_3,context_sensitive_reusable_invariant,0.7013011874473335,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.8854513776926801,0.35,0.5,1.0,1.0,0.024383430241634585,0.8854513776926801,23.0,20.36538168693164,2.6346183130683585,6,6,1.0,,untyped_failure_row_evidence_fallback,preserve compact core; add geometry-support annotation; add scale-position sensitivity note,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8901512798099256,0.012191715120817292,artifact_scoped_intervention_readiness_audit
three_way__geometry_scores_only,three_way,geometry_scores_only,geometry_scores_only,redundant_reusable_invariant,0.7189829733321396,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9274535052413202,0.35,0.5,1.0,1.0,0.09619597021809745,0.9274535052413202,7.0,6.492174536689241,0.5078254633107591,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.048097985109048724,artifact_scoped_intervention_readiness_audit
three_way__no_window,three_way,no_window,no_window,redundant_reusable_invariant,0.7515832520345059,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9998985690243564,0.35,0.5,1.0,1.0,0.24108609778416978,0.9998985690243564,7.0,6.9992899831704944,0.0007100168295055553,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.12054304889208489,artifact_scoped_intervention_readiness_audit
three_way__stability_plus_geometry,three_way,stability_plus_geometry,stability_plus_geometry,redundant_reusable_invariant,0.7412588872643683,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.976955536201828,0.35,0.5,1.0,1.0,0.19520003213911297,0.976955536201828,7.0,6.838688753412796,0.16131124658720442,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.09760001606955648,artifact_scoped_intervention_readiness_audit
three_way__strict_numeric_all,three_way,strict_numeric_all,strict_numeric_all,redundant_reusable_invariant,0.7515748620527045,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.9998799246203532,0.35,0.5,1.0,1.0,0.24104880897616354,0.9998799246203532,7.0,6.999159472342472,0.0008405276575276233,6,6,1.0,,untyped_failure_row_evidence_fallback,record as redundant carrier; link to compact stability core,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8931992085901299,0.12052440448808177,artifact_scoped_intervention_readiness_audit
three_way__path_shares_only,three_way,path_shares_only,path_shares_only,weak_redundant_carrier,0.68236313386385,C: diagnostic-only,,diffuse_failure_localization;generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.8194525354554,0.35,0.5,1.0,1.0,0.0,0.8194525354554,7.0,5.7361677481878,1.2638322518122003,6,6,1.0,object_support_sensitivity,distinct_failure_type_concentration_more_than_3_types,record as weak redundant carrier; do not promote as primary support; link to localized failure rows,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8972700406271032,-0.059902984676871496,artifact_scoped_intervention_readiness_audit
three_way__stability_core_3,three_way,stability_core_3,stability_core_3,context_sensitive_reusable_invariant,0.7333149156429656,C: diagnostic-only,,generic_repair_specificity;weak_negative_control_contrast,obs080d_carrier_mean_ba,0.8732596625718628,0.6,0.5,1.0,1.0,0.0,0.8732596625718628,23.0,20.084972239152844,2.915027760847156,6,6,1.0,object_support_sensitivity,distinct_failure_type_concentration_2_to_3_types,preserve compact core; prefer enriched geometry for high precision; annotate structural sensitivity,,general_repair_recommendation,Level 1,compact core sufficient,geometry_level_mapping,context_sensitive;weak_status_or_low_survival,0.8962471373703342,-0.012191715120817292,artifact_scoped_intervention_readiness_audit
