relation_id,task,carrier,feature_family,negative_control_type,negative_control_relation_id,record_score,control_score,contrast,contrast_passed,contrast_basis
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stability_core_3,weak_status_or_low_survival,median_control_group,0.9825948228464676,0.9070428970479885,0.07555192579847914,False,record_invariance_minus_control_group_median
C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,stability_core_3,context_sensitive,median_control_group,0.9825948228464676,0.8793555201322715,0.10323930271419612,False,record_invariance_minus_control_group_median
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,geometry_scores_only,weak_status_or_low_survival,median_control_group,0.9834779716091624,0.9070428970479885,0.07643507456117393,False,record_invariance_minus_control_group_median
C_vs_Cp2__geometry_scores_only,C_vs_Cp2,geometry_scores_only,geometry_scores_only,context_sensitive,median_control_group,0.9834779716091624,0.8793555201322715,0.10412245147689092,False,record_invariance_minus_control_group_median
C_vs_Cp2__no_window,C_vs_Cp2,no_window,no_window,weak_status_or_low_survival,median_control_group,0.9999708600849608,0.9070428970479885,0.09292796303697237,False,record_invariance_minus_control_group_median
C_vs_Cp2__no_window,C_vs_Cp2,no_window,no_window,context_sensitive,median_control_group,0.9999708600849608,0.8793555201322715,0.12061533995268936,False,record_invariance_minus_control_group_median
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,stability_plus_geometry,weak_status_or_low_survival,median_control_group,0.993301908258506,0.9070428970479885,0.08625901121051749,False,record_invariance_minus_control_group_median
C_vs_Cp2__stability_plus_geometry,C_vs_Cp2,stability_plus_geometry,stability_plus_geometry,context_sensitive,median_control_group,0.993301908258506,0.8793555201322715,0.11394638812623448,False,record_invariance_minus_control_group_median
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,strict_numeric_all,weak_status_or_low_survival,median_control_group,0.9999708600849608,0.9070428970479885,0.09292796303697237,False,record_invariance_minus_control_group_median
C_vs_Cp2__strict_numeric_all,C_vs_Cp2,strict_numeric_all,strict_numeric_all,context_sensitive,median_control_group,0.9999708600849608,0.8793555201322715,0.12061533995268936,False,record_invariance_minus_control_group_median
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_shares_only,weak_status_or_low_survival,median_control_group,0.8989012329740419,0.915184561121935,-0.016283328147893128,False,record_invariance_minus_control_group_median
C_vs_Cp2__path_shares_only,C_vs_Cp2,path_shares_only,path_shares_only,context_sensitive,median_control_group,0.8989012329740419,0.8793555201322715,0.019545712841770424,False,record_invariance_minus_control_group_median
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,stability_core_3,weak_status_or_low_survival,median_control_group,0.9843549474859228,0.9070428970479885,0.07731205043793432,False,record_invariance_minus_control_group_median
C_vs_Cp3__stability_core_3,C_vs_Cp3,stability_core_3,stability_core_3,context_sensitive,median_control_group,0.9843549474859228,0.8793555201322715,0.10499942735365131,False,record_invariance_minus_control_group_median
C_vs_Cp3__no_window,C_vs_Cp3,no_window,no_window,weak_status_or_low_survival,median_control_group,1.0,0.9070428970479885,0.09295710295201154,False,record_invariance_minus_control_group_median
C_vs_Cp3__no_window,C_vs_Cp3,no_window,no_window,context_sensitive,median_control_group,1.0,0.8793555201322715,0.12064447986772853,False,record_invariance_minus_control_group_median
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,stability_plus_geometry,weak_status_or_low_survival,median_control_group,0.9861301809832822,0.9070428970479885,0.07908728393529374,False,record_invariance_minus_control_group_median
C_vs_Cp3__stability_plus_geometry,C_vs_Cp3,stability_plus_geometry,stability_plus_geometry,context_sensitive,median_control_group,0.9861301809832822,0.8793555201322715,0.10677466085101073,False,record_invariance_minus_control_group_median
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,strict_numeric_all,weak_status_or_low_survival,median_control_group,1.0,0.9070428970479885,0.09295710295201154,False,record_invariance_minus_control_group_median
C_vs_Cp3__strict_numeric_all,C_vs_Cp3,strict_numeric_all,strict_numeric_all,context_sensitive,median_control_group,1.0,0.8793555201322715,0.12064447986772853,False,record_invariance_minus_control_group_median
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_scores_only,weak_status_or_low_survival,median_control_group,0.9456003308059068,0.8989012329740419,0.04669909783186488,False,record_invariance_minus_control_group_median
C_vs_Cp3__geometry_scores_only,C_vs_Cp3,geometry_scores_only,geometry_scores_only,context_sensitive,median_control_group,0.9456003308059068,0.8793555201322715,0.0662448106736353,False,record_invariance_minus_control_group_median
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_shares_only,weak_status_or_low_survival,median_control_group,0.915184561121935,0.8989012329740419,0.016283328147893128,False,record_invariance_minus_control_group_median
C_vs_Cp3__path_shares_only,C_vs_Cp3,path_shares_only,path_shares_only,context_sensitive,median_control_group,0.915184561121935,0.8793555201322715,0.03582904098966355,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,geometry_scores_only,weak_status_or_low_survival,median_control_group,0.999094072214016,0.9070428970479885,0.09205117516602757,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__geometry_scores_only,Cp2_vs_Cp3,geometry_scores_only,geometry_scores_only,context_sensitive,median_control_group,0.999094072214016,0.8793555201322715,0.11973855208174455,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,no_window,weak_status_or_low_survival,median_control_group,1.0,0.9070428970479885,0.09295710295201154,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__no_window,Cp2_vs_Cp3,no_window,no_window,context_sensitive,median_control_group,1.0,0.8793555201322715,0.12064447986772853,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,path_shares_only,weak_status_or_low_survival,median_control_group,0.921024216048558,0.9070428970479885,0.013981319000569536,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__path_shares_only,Cp2_vs_Cp3,path_shares_only,path_shares_only,context_sensitive,median_control_group,0.921024216048558,0.8793555201322715,0.041668695916286524,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,stability_plus_geometry,weak_status_or_low_survival,median_control_group,0.9958196645269116,0.9070428970479885,0.08877676747892316,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__stability_plus_geometry,Cp2_vs_Cp3,stability_plus_geometry,stability_plus_geometry,context_sensitive,median_control_group,0.9958196645269116,0.8793555201322715,0.11646414439464015,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,strict_numeric_all,weak_status_or_low_survival,median_control_group,1.0,0.9070428970479885,0.09295710295201154,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__strict_numeric_all,Cp2_vs_Cp3,strict_numeric_all,strict_numeric_all,context_sensitive,median_control_group,1.0,0.8793555201322715,0.12064447986772853,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,stability_core_3,weak_status_or_low_survival,median_control_group,0.8854513776926801,0.9070428970479885,-0.021591519355308342,False,record_invariance_minus_control_group_median
Cp2_vs_Cp3__stability_core_3,Cp2_vs_Cp3,stability_core_3,stability_core_3,context_sensitive,median_control_group,0.8854513776926801,0.8732596625718628,0.012191715120817292,False,record_invariance_minus_control_group_median
three_way__geometry_scores_only,three_way,geometry_scores_only,geometry_scores_only,weak_status_or_low_survival,median_control_group,0.9274535052413202,0.9070428970479885,0.020410608193331736,False,record_invariance_minus_control_group_median
three_way__geometry_scores_only,three_way,geometry_scores_only,geometry_scores_only,context_sensitive,median_control_group,0.9274535052413202,0.8793555201322715,0.048097985109048724,False,record_invariance_minus_control_group_median
three_way__no_window,three_way,no_window,no_window,weak_status_or_low_survival,median_control_group,0.9998985690243564,0.9070428970479885,0.0928556719763679,False,record_invariance_minus_control_group_median
three_way__no_window,three_way,no_window,no_window,context_sensitive,median_control_group,0.9998985690243564,0.8793555201322715,0.12054304889208489,False,record_invariance_minus_control_group_median
three_way__stability_plus_geometry,three_way,stability_plus_geometry,stability_plus_geometry,weak_status_or_low_survival,median_control_group,0.976955536201828,0.9070428970479885,0.0699126391538395,False,record_invariance_minus_control_group_median
three_way__stability_plus_geometry,three_way,stability_plus_geometry,stability_plus_geometry,context_sensitive,median_control_group,0.976955536201828,0.8793555201322715,0.09760001606955648,False,record_invariance_minus_control_group_median
three_way__strict_numeric_all,three_way,strict_numeric_all,strict_numeric_all,weak_status_or_low_survival,median_control_group,0.9998799246203532,0.9070428970479885,0.09283702757236478,False,record_invariance_minus_control_group_median
three_way__strict_numeric_all,three_way,strict_numeric_all,strict_numeric_all,context_sensitive,median_control_group,0.9998799246203532,0.8793555201322715,0.12052440448808177,False,record_invariance_minus_control_group_median
three_way__path_shares_only,three_way,path_shares_only,path_shares_only,weak_status_or_low_survival,median_control_group,0.8194525354554,0.915184561121935,-0.09573202566653505,False,record_invariance_minus_control_group_median
three_way__path_shares_only,three_way,path_shares_only,path_shares_only,context_sensitive,median_control_group,0.8194525354554,0.8793555201322715,-0.059902984676871496,False,record_invariance_minus_control_group_median
three_way__stability_core_3,three_way,stability_core_3,stability_core_3,weak_status_or_low_survival,median_control_group,0.8732596625718628,0.9070428970479885,-0.033783234476125634,False,record_invariance_minus_control_group_median
three_way__stability_core_3,three_way,stability_core_3,stability_core_3,context_sensitive,median_control_group,0.8732596625718628,0.8854513776926801,-0.012191715120817292,False,record_invariance_minus_control_group_median
