artifact_label,artifact_path,unit_family,column_name,available,rows_read,non_null_rows,non_null_share,unique_units,median_rows_per_unit,largest_unit_rows,candidate_role,limitation
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,transition_id,,False,45000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,window_id,,False,45000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,cohort,,False,45000,0,0.0,0,,0,unavailable,field family not found
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,regime,corpus,True,45000,45000,1.0,3,15000.0,15000,candidate_stratification_or_support_field,
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,scale,scale,True,45000,45000,1.0,1,45000.0,45000,candidate_stratification_or_support_field,single observed level cannot support partitioning or comparison
obs074_feature_table__3,outputs/comparisons/obs074_lexical_field_bridge/C_Cp_Cp2_v3_smoke/obs074_feature_table.csv,provenance,,False,45000,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,observation_id,,False,145000,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,object_id,,False,145000,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,route_id,path_id,True,145000,145000,1.0,100000,1.0,4,candidate_structural_partition_unit,
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,transition_id,,False,145000,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,window_id,,False,145000,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,cohort,,False,145000,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,regime,corpus,True,145000,145000,1.0,4,15000.0,100000,candidate_stratification_or_support_field,
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,scale,scale,True,145000,145000,1.0,1,145000.0,145000,candidate_stratification_or_support_field,single observed level cannot support partitioning or comparison
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,provenance,,False,145000,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,observation_id,,False,0,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,object_id,,False,0,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,route_id,path_id,True,0,0,0.0,0,,0,unavailable,no valid units
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,transition_id,,False,0,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,window_id,,False,0,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,cohort,,False,0,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,regime,corpus,True,0,0,0.0,0,,0,unavailable,no valid units
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,scale,,False,0,0,0.0,0,,0,unavailable,field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,provenance,,False,0,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,observation_id,id,True,1200,1200,1.0,75,16.0,16,candidate_observation_group,observation identifiers repeat; namespace or nesting audit required
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,object_id,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,route_id,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,transition_id,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,window_id,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,cohort,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,regime,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,scale,t,True,1200,1200,1.0,8,150.0,150,candidate_stratification_or_support_field,
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,provenance,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,observation_id,id,True,1200,1200,1.0,75,16.0,16,candidate_observation_group,observation identifiers repeat; namespace or nesting audit required
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,object_id,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,route_id,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,transition_id,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,window_id,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,cohort,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,regime,,False,1200,0,0.0,0,,0,unavailable,field family not found
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,scale,t,True,1200,1200,1.0,8,150.0,150,candidate_stratification_or_support_field,
