artifact_label,artifact_path,key_name,required_families,resolved_columns,all_required_columns_present,rows,complete_rows,complete_share,unique_keys,duplicate_complete_rows,unique_on_complete,join_use,caveat
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,object_transition,object_id|transition_id,,False,145000.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,route_transition,route_id|transition_id,path_id,False,145000.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,object_route_transition,object_id|route_id|transition_id,path_id,False,145000.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,record_observation,record_id|observation_id,,False,145000.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg/obs075d_feature_table.csv,record_object_transition,record_id|object_id|transition_id,,False,145000.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,record,record_id,,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,relation_carrier,relation|carrier,,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,observation,observation_id,,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,object,object_id,,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,route,route_id,path_id,True,0.0,0.0,0.0,0.0,0.0,False,present_but_empty,substantial missing key values
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,transition,transition_id,,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,window,window_id,,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,object_transition,object_id|transition_id,,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,route_transition,route_id|transition_id,path_id,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,object_route_transition,object_id|route_id|transition_id,path_id,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,record_observation,record_id|observation_id,,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs075d_feature_table__2,outputs/comparisons/obs075d_cp3_path_lexical_control_logreg_v2/obs075d_feature_table.csv,record_object_transition,record_id|object_id|transition_id,,False,0.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,record,record_id,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,relation_carrier,relation|carrier,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,observation,observation_id,id,True,1200.0,1200.0,1.0,75.0,1125.0,False,candidate_many_side_key_requires_cardinality_audit,duplicate keys require explicit one-to-many or many-to-many semantics
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,object,object_id,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,route,route_id,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,transition,transition_id,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,window,window_id,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,object_transition,object_id|transition_id,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,route_transition,route_id|transition_id,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,object_route_transition,object_id|route_id|transition_id,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,record_observation,record_id|observation_id,id,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg/obs076d_scale_feature_table.csv,record_object_transition,record_id|object_id|transition_id,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,record,record_id,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
obs076d_scale_feature_table__2,outputs/comparisons/obs076d_Cp2_vs_Cp3_scale_conditioned_factor_separability_shared14_mds_pilot_logreg_dynamic_only_v2/obs076d_scale_feature_table.csv,relation_carrier,relation|carrier,,False,1200.0,0.0,0.0,0.0,0.0,False,unavailable,required field family not found
