artifact_label,artifact_path,suffix,priority_match,size_bytes,size_mb,sha256,rows_read,column_count,read_status,read_error
obs078a_mechanistic_signature_classifier_v2_summary,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_mechanistic_signature_classifier_v2_summary.md,.md,True,11951,0.011397,319a29e6d9c727b8cd907c943a9ba7e8b63d74f231af8b2e5ba2d5493f4bd3bb,,0,exists_non_tabular,
obs078a_panel_scores__2,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_panel_scores.csv,.csv,True,157018,0.149744,3e3dba5dc623512213b32c1b686246d0fde5a518c7b01afe590daef3ce9c0aaf,96.0,13,ok,
obs078a_permutation_scores__2,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_permutation_scores.csv,.csv,True,524878,0.500563,d5c0159cadb5e226b6627a513a50ac18e635a33738f0aa1632949f270f8f2129,4800.0,8,ok,
obs078a_permutation_summary__2,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_permutation_summary.csv,.csv,True,5434,0.005182,ff785b609938f8233f5cfda659b51eae08df54f74f3a87450fa39a743a48c038,48.0,9,ok,
obs078a_report__2,outputs/comparisons/obs078a_mechanistic_signature_classifier_v2/obs078a_report.md,.md,True,256362,0.244486,4f3e1f1b2800debc732bf93f6390d1c51307913cfd39190edb32959bcd39a29f,,0,exists_non_tabular,
obs078b_confusion_matrices,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_confusion_matrices.csv,.csv,True,32153,0.030663,822fbbe18152d5cd45c4a3f7a0633f968273f1df669d3b7b0034ea05f363dcc3,828.0,5,ok,
obs078b_feature_importance,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_feature_importance.csv,.csv,True,227454,0.216917,649813718aec9c718a0f330b483b6daeeee459664975de9035f4dcfce61e5de0,1940.0,7,ok,
obs078b_feature_sets,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_feature_sets.csv,.csv,True,24368,0.023239,bb189014e263dd1bcf2198ea376dec875c7bad63e0a1a840eebb7a07de8e215a,388.0,4,ok,
obs078b_input_manifest,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_input_manifest.csv,.csv,True,265,0.000253,7c9667171cf37cfeced9f47cccab2a28f3fa75cf7c62eb61f8fd6790818ed135,2.0,5,ok,
obs078b_minimal_signature_summary,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_minimal_signature_summary.md,.md,True,27614,0.026335,3d23ec25f8fb7a2aa875b2d9f06fb59c4195712fc9aca92b706f42015cc8275d,,0,exists_non_tabular,
obs078b_panel_scores,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_panel_scores.csv,.csv,True,66254,0.063185,5b113cabfbdcd839157f617790fc0f40253eb845032bc3686e4d2c9176bca9aa,92.0,9,ok,
obs078b_permutation_scores,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_permutation_scores.csv,.csv,True,630073,0.600884,4c02600e10045ab91dda9546a99d71c0bb5f2106f1c5b482d533f58ba24dd3ee,6900.0,6,ok,
obs078b_permutation_summary,outputs/comparisons/obs078b_minimal_signature_ablation/obs078b_permutation_summary.csv,.csv,True,6826,0.00651,27a591ec10522599e177bc1c47dc46601d7569c2f91c6217429cf85e5536ad19,69.0,7,ok,
obs078c_case_cohort_matrix,outputs/comparisons/obs078c_stability_signature_localization/obs078c_case_cohort_matrix.csv,.csv,True,1837,0.001752,7a2bc8b895928ddf7b02ca94cc4c6c7637a30f36e17003b712e14d60d43f6b9d,6.0,13,ok,
obs078c_case_object_matrix,outputs/comparisons/obs078c_stability_signature_localization/obs078c_case_object_matrix.csv,.csv,True,2163,0.002063,7440d65388597c770c79eca424b23d7af79d06f6f81bf53618c856ce6e382c6b,8.0,13,ok,
obs078c_feature_zscores,outputs/comparisons/obs078c_stability_signature_localization/obs078c_feature_zscores.csv,.csv,True,289873,0.276444,22622fb90b081826b4ab028203ae6ac35e1efa0dc665b3d003639cb19f4e1bef,168.0,123,ok,
obs078c_input_manifest,outputs/comparisons/obs078c_stability_signature_localization/obs078c_input_manifest.csv,.csv,True,146,0.000139,ab36e9b80dc6543e70c106a88a2a16587a4689f182c7bc43cc0f016d21cc94c6,1.0,5,ok,
obs078c_pairwise_case_contrasts,outputs/comparisons/obs078c_stability_signature_localization/obs078c_pairwise_case_contrasts.csv,.csv,True,109317,0.104253,c3bc90ad37dc0763b33417a6d340cb810756a78d685403d239851e388606b1fa,143.0,49,ok,
obs078c_report,outputs/comparisons/obs078c_stability_signature_localization/obs078c_report.md,.md,True,22931,0.021869,877b46c72fd67ac6fcecdc0213bae9afa19c84b2b8e5581f79d03bf49136ebd9,,0,exists_non_tabular,
obs078c_signature_by_case,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_case.csv,.csv,True,2551,0.002433,8d40cfe897a0fd3683f70e03b2c3beed8d1840d418e8f0cbbdebd0d2ca2748ea,3.0,32,ok,
obs078c_signature_by_cohort,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_cohort.csv,.csv,True,11556,0.011021,745c5c0df68b9da1167ebb235fe8b6e9406d083783e6b1060b9ea69ceca6adcd,18.0,33,ok,
obs078c_signature_by_object,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object.csv,.csv,True,12699,0.012111,0298cb5700e5785a2edf47d477b9e961dbaaabd3d79135908769c7820cb25c04,21.0,33,ok,
obs078c_signature_by_object_cohort,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object_cohort.csv,.csv,True,59604,0.056843,5f2c74de7f9404accb02dbee19bb3a16f8210d0f9caec8f35860546e031b134d,115.0,34,ok,
obs078c_signature_by_object_transition,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_object_transition.csv,.csv,True,18329,0.01748,7d1f628b511e09a41b0e378879c6946ae464863274142cfa9e6fd117c3383d39,30.0,34,ok,
obs078c_signature_by_transition,outputs/comparisons/obs078c_stability_signature_localization/obs078c_signature_by_transition.csv,.csv,True,9121,0.008698,8699853bdf966df4188d9253a6432da920c3b4ba4a10a9c97927cb2acc24ce56,14.0,33,ok,
