record_id,support_id,failure_predicate,failure_mode,control_record_id,control_family,control_relation,control_carrier,target_site_relative_contrast,control_site_relative_contrast,control_adjusted_contrast,control_complement_admissible,control_site_rows,control_complement_rows,control_shared_clusters,control_status,control_admissibility_rule,candidate_id,confirmation_partition_id,row_type,admissible_control_count,alternative_control_count,median_control_site_relative_contrast,median_control_adjusted_contrast,positive_control_adjusted_share,control_robustness_pass,control_robustness_status,eligible_control_records_json
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__strict_numeric_all,carrier_control,C_vs_Cp2,strict_numeric_all,0.08775762198558723,0.10429575457673312,-0.016538132591145893,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-2f8f8e8bd729832e4f1c,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__geometry_scores_only,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__path_shares_only,carrier_control,C_vs_Cp2,path_shares_only,0.08775762198558723,0.028696563548274878,0.05906105843731235,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-2f8f8e8bd729832e4f1c,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp3__no_window,relation_control,C_vs_Cp3,no_window,0.1590578389778226,0.2149024381953582,-0.055844599217535595,True,9.0,45.0,3.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-7ec663ae1af7424b1b72,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,Cp2_vs_Cp3__no_window,relation_control,Cp2_vs_Cp3,no_window,0.1590578389778226,0.0687709310772755,0.09028690790054711,True,16.0,37.0,3.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-7ec663ae1af7424b1b72,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,three_way__no_window,relation_control,three_way,no_window,0.1590578389778226,0.6399244208609285,-0.4808665818831059,True,19.0,59.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-7ec663ae1af7424b1b72,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__stability_core_3,carrier_control,C_vs_Cp2,stability_core_3,0.1590578389778226,0.2446527015414619,-0.0855948625636393,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-7ec663ae1af7424b1b72,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__geometry_scores_only,carrier_control,C_vs_Cp2,geometry_scores_only,0.1590578389778226,0.08775762198558723,0.07130021699223538,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-7ec663ae1af7424b1b72,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__stability_plus_geometry,carrier_control,C_vs_Cp2,stability_plus_geometry,0.1590578389778226,0.027643346893119702,0.1314144920847029,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-7ec663ae1af7424b1b72,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__strict_numeric_all,carrier_control,C_vs_Cp2,strict_numeric_all,0.1590578389778226,0.10429575457673312,0.054762084401089484,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-7ec663ae1af7424b1b72,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
C_vs_Cp2__no_window,114bd7932e0008f8ef79,relation_separation_attenuation,attenuation,C_vs_Cp2__path_shares_only,carrier_control,C_vs_Cp2,path_shares_only,0.1590578389778226,0.028696563548274878,0.13036127542954773,True,13.0,36.0,4.0,admissible,"same frozen support query; class-balanced site/complement contrast; minimum row, class, and shared-object overlap",OBS084B-7ec663ae1af7424b1b72,7198b2d34bc8c469a54c8a83ad7e6dfe975c084fde947c1992b7ea6882dc26d2,control_record,,,,,,,,
