case,candidate_rank,object,scale_index_from,scale_index_to,cohort,dominant_family,n_paths,n_windows,mean_lambda_local_mean,mean_lambda_local_z,mean_delta_d_mean,mean_delta_d_z,bounded_share_mean,bounded_share_z,divergence_z_sum,transition_delta,dominant_reason,pinch_score_total,support_score,overlap_score,shape_score,id_score,jaccard_loss,centroid_drift,support_size_delta,overlap_delta_max,seam__core__path_enrichment,seam__near__path_enrichment,seam__core__path_log2_enrichment,seam__near__path_log2_enrichment,seam__core__path_share,seam__near__path_share,seam__core__global_path_share,seam__near__global_path_share,seam__core__n_paths,seam__near__n_paths,seam__core__denom_paths,seam__near__denom_paths,path_family__off_seam_reorganizing__path_enrichment,path_family__reorganization_heavy__path_enrichment,path_family__settled_distant__path_enrichment,path_family__stable_seam_corridor__path_enrichment,path_family__off_seam_reorganizing__path_log2_enrichment,path_family__reorganization_heavy__path_log2_enrichment,path_family__settled_distant__path_log2_enrichment,path_family__stable_seam_corridor__path_log2_enrichment,path_family__off_seam_reorganizing__path_share,path_family__reorganization_heavy__path_share,path_family__settled_distant__path_share,path_family__stable_seam_corridor__path_share,path_family__off_seam_reorganizing__global_path_share,path_family__reorganization_heavy__global_path_share,path_family__settled_distant__global_path_share,path_family__stable_seam_corridor__global_path_share,path_family__off_seam_reorganizing__n_paths,path_family__reorganization_heavy__n_paths,path_family__settled_distant__n_paths,path_family__stable_seam_corridor__n_paths,path_family__off_seam_reorganizing__denom_paths,path_family__reorganization_heavy__denom_paths,path_family__settled_distant__denom_paths,path_family__stable_seam_corridor__denom_paths,outcome__nonrecovering__path_enrichment,outcome__recovering__path_enrichment,outcome__nonrecovering__path_log2_enrichment,outcome__recovering__path_log2_enrichment,outcome__nonrecovering__path_share,outcome__recovering__path_share,outcome__nonrecovering__global_path_share,outcome__recovering__global_path_share,outcome__nonrecovering__n_paths,outcome__recovering__n_paths,outcome__nonrecovering__denom_paths,outcome__recovering__denom_paths,proj__nan__nan__n_paths,proj__outcome_group__nonrecovering__n_paths,proj__outcome_group__recovering__n_paths,proj__path_family__off_seam_reorganizing__n_paths,proj__path_family__reorganization_heavy__n_paths,proj__path_family__settled_distant__n_paths,proj__path_family__stable_seam_corridor__n_paths,proj__seam_class__seam_contact__n_paths,proj__seam_class__seam_distant__n_paths,proj__seam_class__seam_grazing__n_paths,proj__outcome_group__nonrecovering__global_share,proj__outcome_group__recovering__global_share,proj__path_family__off_seam_reorganizing__global_share,proj__path_family__reorganization_heavy__global_share,proj__path_family__settled_distant__global_share,proj__path_family__stable_seam_corridor__global_share,proj__seam_class__seam_contact__global_share,proj__seam_class__seam_distant__global_share,proj__seam_class__seam_grazing__global_share,proj__outcome_group__nonrecovering__enrichment,proj__outcome_group__recovering__enrichment,proj__path_family__off_seam_reorganizing__enrichment,proj__path_family__reorganization_heavy__enrichment,proj__path_family__settled_distant__enrichment,proj__path_family__stable_seam_corridor__enrichment,proj__seam_class__seam_contact__enrichment,proj__seam_class__seam_distant__enrichment,proj__seam_class__seam_grazing__enrichment,proj__outcome_group__nonrecovering__log2_enrichment,proj__outcome_group__recovering__log2_enrichment,proj__path_family__off_seam_reorganizing__log2_enrichment,proj__path_family__reorganization_heavy__log2_enrichment,proj__path_family__settled_distant__log2_enrichment,proj__path_family__stable_seam_corridor__log2_enrichment,proj__seam_class__seam_contact__log2_enrichment,proj__seam_class__seam_distant__log2_enrichment,proj__seam_class__seam_grazing__log2_enrichment,row_index,observation_id,observation_key,transition,transition_midpoint,cluster_id,cluster_unit,partition,scale_band,seam_relative_region,predictor_missing_fraction,predictor_missing_any,record_id,relation,carrier,true_regime,predicted_regime,predicted_probability,max_other_probability,true_class_margin,signed_margin,correct,misclassification_loss,margin_loss,log_loss,fold_id,heldout_cluster,partition_role,diagnostic_model,carrier_features_json
C,4,coupling_negative,3,4,after,shape,2032,2047,-0.0075765240016234,0.2326414447709077,1.3345510933397584,-0.1667946742486561,0.1594528578407425,-0.1752653348755079,0.2411121053977595,1,local_mle_delta,16.590280352403685,1.079199999992985,0.0,8.319446981935059,7.191633370475641,0.4,0.4840715808616341,0,0.0434782608695652,0.9184768844683888,0.9982682079484296,-0.1226846817515718,-0.0025006137016259,0.1373031496062992,0.8700787401574803,0.1494900437105391,0.8715881495871782,279.0,1768.0,2032.0,2032.0,1.700146646937589,0.9770934565517304,,1.206405858820024,0.7656591920600136,-0.0334315359122575,,0.2707153400770311,0.0738188976377952,0.672244094488189,,0.2539370078740157,0.0434191355026712,0.688003885381253,,0.2104905293831957,150.0,1366.0,,516.0,2032.0,2032.0,,2032.0,0.7272397618957916,1.0308145350074485,-0.4594970137249137,0.0437847851849507,0.0738188976377952,0.9261811023622047,0.1015055852355512,0.8984944147644488,150.0,1882.0,2032.0,2032.0,,44173.0,44173.0,44173.0,44173.0,44173.0,44173.0,44173.0,44173.0,44173.0,0.64259,0.35741,0.26909,0.22326,0.3735,0.13415,0.68378,0.07732,0.2389,1.18209789003597,0.6726048986875895,1.8388067880467296,0.6180247879483641,0.7089685798162084,0.763440198895794,0.9948811151716396,0.9219851369903824,1.039900796454094,0.2413495106620246,-0.5721688086068707,0.8787698970584797,-0.6942633914916193,-0.4962064035951348,-0.3894129413150649,-0.0074039559628922,-0.1171846012410572,0.0564459059733891,18,d22f541b5eae38b83cdd0d6edb9b9af6bc5629928d541a0efff9f9df6a41de46,C|coupling_negative|after|3|4,3→4,3.5,coupling_negative,object,confirmation,early,intermediate,0.0,0.0,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C,C,0.9160054205420157,0.08399457945798428,0.8320108410840314,0.8320108410840314,True,0.0,-0.8320108410840314,0.08773299670322793,confirmation_leave_object_out::coupling_negative,coupling_negative,confirmation,logreg_balanced_scaled_median_imputed,"[""mean_lambda_local_mean"", ""mean_delta_d_mean"", ""bounded_share_mean""]"
C,4,coupling_negative,3,4,before,shape,2099,2114,0.0926924900696707,0.322982722056977,1.5099071540344815,-0.0167352508700589,0.1160832544938505,-0.294078886230993,0.600326357417911,1,local_mle_delta,16.590280352403685,1.079199999992985,0.0,8.319446981935059,7.191633370475641,0.4,0.4840715808616341,0,0.0434782608695652,1.1664238145519958,0.9554713582279843,0.2220920801832944,-0.0657154681124477,0.1743687470223916,0.8327775131014769,0.1494900437105391,0.8715881495871782,366.0,1748.0,2099.0,2099.0,0.9546092578440996,1.0511590703223073,0.1312298737573713,1.0818894795310927,-0.0670177671071271,0.0719810066931299,-2.929831915970643,0.1135531281145371,0.0414483087184373,0.7232015245354931,0.0076226774654597,0.2277274892806098,0.0434191355026712,0.688003885381253,0.05808644973288,0.2104905293831957,87.0,1518.0,16.0,478.0,2099.0,2099.0,2099.0,2099.0,0.4834313902040388,1.0583582915931653,-1.0486169415575644,0.0818281132736858,0.049070986183897,0.950929013816103,0.1015055852355512,0.8984944147644488,103.0,1996.0,2099.0,2099.0,,51219.0,51219.0,51219.0,51219.0,51219.0,51219.0,51219.0,51219.0,51219.0,0.64259,0.35741,0.26909,0.22326,0.3735,0.13415,0.68378,0.07732,0.2389,1.125245516469794,0.7748201884943767,1.6626856931394258,0.743321869085562,0.7380439712454117,0.8272414690789182,1.0261395232420845,0.6451607885541889,1.0400271436743669,0.1702398163313401,-0.3680665500030976,0.7335154736137982,-0.4279410410771558,-0.4382213230334365,-0.2736195860522459,0.0372269061941809,-0.6322693375408073,0.0566211817652323,19,74d841005262c81fd9ef41cb81706a708ac96b717e559bf537e504cd3d5e1249,C|coupling_negative|before|3|4,3→4,3.5,coupling_negative,object,confirmation,early,near,0.0,0.0,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C,C,0.7013080322796447,0.29869196772035533,0.40261606455928933,0.40261606455928933,True,0.0,-0.40261606455928933,0.35480807009028253,confirmation_leave_object_out::coupling_negative,coupling_negative,confirmation,logreg_balanced_scaled_median_imputed,"[""mean_lambda_local_mean"", ""mean_delta_d_mean"", ""bounded_share_mean""]"
C,4,coupling_negative,3,4,entered,shape,739,739,-0.0752892740299615,0.171633002803354,1.8009838727161764,0.2323511188354602,0.1832205683355886,-0.1101523093102402,0.5141364309490546,1,local_mle_delta,16.590280352403685,1.079199999992985,0.0,8.319446981935059,7.191633370475641,0.4,0.4840715808616341,0,0.0434782608695652,0.1810394778606919,1.1162799781090376,-2.4656237660673823,0.1586989199722549,0.027063599458728,0.972936400541272,0.1494900437105391,0.8715881495871782,20.0,719.0,739.0,739.0,3.6775314606775584,0.6431502213174276,,1.8900371109763687,1.8787376835519891,-0.6367723460782506,,0.9184145621161562,0.1596752368064952,0.4424898511502029,,0.3978349120433017,0.0434191355026712,0.688003885381253,,0.2104905293831957,118.0,327.0,,294.0,739.0,739.0,,739.0,1.573068481265903,0.9352587499542844,0.6535814777670617,-0.0965625366970899,0.1596752368064952,0.8403247631935047,0.1015055852355512,0.8984944147644488,118.0,621.0,739.0,739.0,,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,3931.0,0.64259,0.35741,0.26909,0.22326,0.3735,0.13415,0.68378,0.07732,0.2389,0.7751320259050363,1.4042917418972705,0.3441127633311315,0.8226654026296147,1.0856620750760064,2.372267116501118,1.2329148012921756,1.9970723642696493,0.0106483129504655,-0.367486033664836,0.4898426869717882,-1.5390466914655287,-0.2816223229517483,0.118575117436694,1.246266466020508,0.3020731079332248,0.9978866100392276,-6.553231312314168,20,aa1dd55ee826e0165f65f7e7c9704f0c23938ac2368a377455c368e15d48a59b,C|coupling_negative|entered|3|4,3→4,3.5,coupling_negative,object,confirmation,early,far,0.0,0.0,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C,C,0.573261054163184,0.42673894583681604,0.14652210832636792,0.14652210832636792,True,0.0,-0.14652210832636792,0.5564140741100546,confirmation_leave_object_out::coupling_negative,coupling_negative,confirmation,logreg_balanced_scaled_median_imputed,"[""mean_lambda_local_mean"", ""mean_delta_d_mean"", ""bounded_share_mean""]"
C,4,coupling_negative,3,4,exited,shape,806,806,0.1933279095911486,0.4136541266179651,2.22213984801447,0.5927516807284113,0.0674937965260546,-0.4271925329806724,1.433598340327049,1,local_mle_delta,16.590280352403685,1.079199999992985,0.0,8.319446981935059,7.191633370475641,0.4,0.4840715808616341,0,0.0434782608695652,0.88804805414879,0.9950177248038574,-0.1712903489354139,-0.0072058694734226,0.1327543424317618,0.8672456575682382,0.1494900437105391,0.8715881495871782,107.0,699.0,806.0,806.0,1.5716161229259302,0.8637928020434067,0.3417512469190104,1.508941361569493,0.652248873332991,-0.2112428002219692,-1.5489814932064558,0.5935367428979755,0.0682382133995037,0.5942928039702233,0.0198511166253101,0.3176178660049628,0.0434191355026712,0.688003885381253,0.05808644973288,0.2104905293831957,55.0,479.0,16.0,256.0,806.0,806.0,806.0,806.0,0.8678274187612048,1.0149319294480583,-0.2045199264719139,0.0213829704243391,0.0880893300248139,0.911910669975186,0.1015055852355512,0.8984944147644488,71.0,735.0,806.0,806.0,,10977.0,10977.0,10977.0,10977.0,10977.0,10977.0,10977.0,10977.0,10977.0,0.64259,0.35741,0.26909,0.22326,0.3735,0.13415,0.68378,0.07732,0.2389,0.7710835387938566,1.4115705458836436,0.4817521673658326,1.275948943462451,0.9795338165364988,1.6372796696633962,1.2259765714074,0.0153167929875949,0.6719022418054998,-0.3750409254393566,0.4973012319790051,-1.0536369377750896,0.3515706014493489,-0.029832795239011,0.711300774821338,0.293931409178875,-6.028741930618044,-0.5736767510506044,21,939c3447a281014161beda0d9c2e8a9bc518383cc1cadbcdf5f1025d8203977f,C|coupling_negative|exited|3|4,3→4,3.5,coupling_negative,object,confirmation,early,intermediate,0.0,0.0,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C,Cp2,0.027686658074235204,0.9723133419257648,-0.9446266838515296,-0.9446266838515296,False,1.0,0.9446266838515296,3.586804639793153,confirmation_leave_object_out::coupling_negative,coupling_negative,confirmation,logreg_balanced_scaled_median_imputed,"[""mean_lambda_local_mean"", ""mean_delta_d_mean"", ""bounded_share_mean""]"
C,4,coupling_negative,3,4,persisted,shape,1293,1308,0.0306801444012372,0.2671102816317809,1.071023704991767,-0.3923059441944985,0.1460244648318042,-0.2120531987078724,0.0868575361451548,1,local_mle_delta,16.590280352403685,1.079199999992985,0.0,8.319446981935059,7.191633370475641,0.4,0.4840715808616341,0,0.0434782608695652,1.3399511640376758,0.9308198721799152,0.4221804210677059,-0.1034260835538784,0.2003093580819799,0.811291569992266,0.1494900437105391,0.8715881495871782,259.0,1049.0,1293.0,1293.0,0.5699939962385656,1.1679550581280256,,0.8156838979974881,-0.8109813714739555,0.2239847616637753,,-0.2939179220342054,0.0247486465583913,0.8035576179427688,,0.1716937354988399,0.0434191355026712,0.688003885381253,,0.2104905293831957,32.0,1039.0,,222.0,1293.0,1293.0,,1293.0,0.2438156137020467,1.0854283982358228,-2.036137577258883,0.1182645597465452,0.0247486465583913,0.9752513534416086,0.1015055852355512,0.8984944147644488,32.0,1261.0,1293.0,1293.0,,40242.0,40242.0,40242.0,40242.0,40242.0,40242.0,40242.0,40242.0,40242.0,0.64259,0.35741,0.26909,0.22326,0.3735,0.13415,0.68378,0.07732,0.2389,1.2218519482810548,0.6011307925135114,1.984814496688373,0.5980346717436031,0.6721716480069976,0.6062835314064413,0.9716290297847348,0.8169663036710941,1.1404423081248052,0.2890694844861796,-0.7342491718663222,0.989004177538412,-0.7416989661429709,-0.5730984033882683,-0.7219354601106049,-0.0415225002385525,-0.2916515202222801,0.1895934664781963,22,f78fe2dfa874465a21416a977251280d2c90f419a17f59f56f177f9478e88e65,C|coupling_negative|persisted|3|4,3→4,3.5,coupling_negative,object,confirmation,early,near,0.0,0.0,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C,C,0.9726791788444417,0.02732082115555831,0.9453583576888833,0.9453583576888833,True,0.0,-0.9453583576888833,0.027700974862273825,confirmation_leave_object_out::coupling_negative,coupling_negative,confirmation,logreg_balanced_scaled_median_imputed,"[""mean_lambda_local_mean"", ""mean_delta_d_mean"", ""bounded_share_mean""]"
C,4,coupling_negative,3,4,union,shape,2838,2853,0.0491809150014519,0.2837792721696908,1.5853034719825263,0.0477844922818438,0.1334735366281107,-0.2464371966605632,0.5780009611120979,1,local_mle_delta,16.590280352403685,1.079199999992985,0.0,8.319446981935059,7.191633370475641,0.4,0.4840715808616341,0,0.0434782608695652,0.9098350108822024,0.997345061572628,-0.1363231436010646,-0.0038353600813199,0.1360112755461592,0.8692741367159972,0.1494900437105391,0.8715881495871782,386.0,2467.0,2838.0,2838.0,1.6636436158053138,0.9449157512896764,0.0970583174829888,1.29232679441413,0.7343464137811934,-0.081742390542975,-3.36500433873904,0.3699709346334722,0.0722339675828047,0.6501057082452432,0.0056377730796335,0.2720225510923185,0.0434191355026712,0.688003885381253,0.05808644973288,0.2104905293831957,205.0,1845.0,16.0,772.0,2838.0,2838.0,2838.0,2838.0,0.7671670527462227,1.0263038302573186,-0.3823873321177484,0.0374578942160631,0.0778717406624383,0.9221282593375616,0.1015055852355512,0.8984944147644488,221.0,2617.0,2838.0,2838.0,,55150.0,55150.0,55150.0,55150.0,55150.0,55150.0,55150.0,55150.0,55150.0,0.64259,0.35741,0.26909,0.22326,0.3735,0.13415,0.68378,0.07732,0.2389,1.1002900109138545,0.8196878707505286,1.5687000143166443,0.7489773437974689,0.7628216097976885,0.9373683198498458,1.0408781201235875,0.7415227904424477,0.9666547378071744,0.1378838348080331,-0.2868534449668253,0.6495694891861354,-0.4170060163688326,-0.3905823808803684,-0.0933120578754293,0.0578011485739099,-0.4314370607988738,-0.0489274037338877,23,3a3cbd71cb8afd13063a43a56ce97bd456b813ab5edf544da32dbd2d4b805451,C|coupling_negative|union|3|4,3→4,3.5,coupling_negative,object,confirmation,early,intermediate,0.0,0.0,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C,C,0.6701588038608854,0.3298411961391146,0.34031760772177083,0.34031760772177083,True,0.0,-0.34031760772177083,0.4002405739942021,confirmation_leave_object_out::coupling_negative,coupling_negative,confirmation,logreg_balanced_scaled_median_imputed,"[""mean_lambda_local_mean"", ""mean_delta_d_mean"", ""bounded_share_mean""]"
C,9,coupling_positive,6,7,after,shape,5809,6238,-0.5938760826696986,-0.2956079999146801,1.13848253906983,-0.3345786338098898,0.3584802821417121,0.3699818722338414,-1.0001685059584111,1,anisotropy_delta,13.024141472678105,1.588629216078744,0.0,8.393226681809633,3.042285574789727,0.0,2.28918783901417,0,0.1090909090909091,0.8625180102440132,1.039293354902603,-0.2133735128704193,0.0556029323244207,0.1289378550525047,0.9058357720778104,0.1494900437105391,0.8715881495871782,749.0,5262.0,5809.0,5809.0,0.2418506652679268,1.1484720178542562,1.3543783115923795,0.573302824103044,-2.047811588621392,0.1997157063504112,0.4376307758590042,-0.8026307090840106,0.0105009468066792,0.7901532105353761,0.0786710277156137,0.1206748149423308,0.0434191355026712,0.688003885381253,0.05808644973288,0.2104905293831957,61.0,4590.0,457.0,701.0,5809.0,5809.0,5809.0,5809.0,0.8784932801023984,1.0137269753830265,-0.1868968442826516,0.0196691471153419,0.0891719745222929,0.910828025477707,0.1015055852355512,0.8984944147644488,518.0,5291.0,5809.0,5809.0,,28479.0,28479.0,28479.0,28479.0,28479.0,28479.0,28479.0,,28479.0,0.64259,0.35741,0.26909,0.22326,0.3735,0.13415,0.68378,,0.2389,0.45370789818021,1.9821824842784,0.3307925114842293,2.201716299419365,0.542262922023857,1.6168219209522112,1.453061236912802,,0.026897393981935,-1.1401643204363432,0.9870897864628352,-1.5960015198866675,1.1386285834400616,-0.8829355674249382,0.6931607870950683,0.5390955042992001,,-5.216389789112651,40,3e11a45b5e952871177d9f3ed72887923c53e9f836606758a0037870fde87e19,C|coupling_positive|after|6|7,6→7,6.5,coupling_positive,object,confirmation,late,far,0.0,0.0,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C,C,0.9995142384978268,0.0004857615021731478,0.9990284769956537,0.9990284769956537,True,0.0,-0.9990284769956537,0.0004858795225130347,confirmation_leave_object_out::coupling_positive,coupling_positive,confirmation,logreg_balanced_scaled_median_imputed,"[""mean_lambda_local_mean"", ""mean_delta_d_mean"", ""bounded_share_mean""]"
C,9,coupling_positive,6,7,before,shape,5809,6238,-0.5938760826696986,-0.2956079999146801,1.13848253906983,-0.3345786338098898,0.3584802821417121,0.3699818722338414,-1.0001685059584111,1,anisotropy_delta,13.024141472678105,1.588629216078744,0.0,8.393226681809633,3.042285574789727,0.0,2.28918783901417,0,0.1090909090909091,0.8625180102440132,1.039293354902603,-0.2133735128704193,0.0556029323244207,0.1289378550525047,0.9058357720778104,0.1494900437105391,0.8715881495871782,749.0,5262.0,5809.0,5809.0,0.2418506652679268,1.1484720178542562,1.3543783115923795,0.573302824103044,-2.047811588621392,0.1997157063504112,0.4376307758590042,-0.8026307090840106,0.0105009468066792,0.7901532105353761,0.0786710277156137,0.1206748149423308,0.0434191355026712,0.688003885381253,0.05808644973288,0.2104905293831957,61.0,4590.0,457.0,701.0,5809.0,5809.0,5809.0,5809.0,0.8784932801023984,1.0137269753830265,-0.1868968442826516,0.0196691471153419,0.0891719745222929,0.910828025477707,0.1015055852355512,0.8984944147644488,518.0,5291.0,5809.0,5809.0,,28479.0,28479.0,28479.0,28479.0,28479.0,28479.0,28479.0,,28479.0,0.64259,0.35741,0.26909,0.22326,0.3735,0.13415,0.68378,,0.2389,0.45370789818021,1.9821824842784,0.3307925114842293,2.201716299419365,0.542262922023857,1.6168219209522112,1.453061236912802,,0.026897393981935,-1.1401643204363432,0.9870897864628352,-1.5960015198866675,1.1386285834400616,-0.8829355674249382,0.6931607870950683,0.5390955042992001,,-5.216389789112651,41,232da81a1305143beb073a4280c93e7f06bea7a363cb12c6aec2d4d525e3417b,C|coupling_positive|before|6|7,6→7,6.5,coupling_positive,object,confirmation,late,far,0.0,0.0,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C,C,0.9995142384978268,0.0004857615021731478,0.9990284769956537,0.9990284769956537,True,0.0,-0.9990284769956537,0.0004858795225130347,confirmation_leave_object_out::coupling_positive,coupling_positive,confirmation,logreg_balanced_scaled_median_imputed,"[""mean_lambda_local_mean"", ""mean_delta_d_mean"", ""bounded_share_mean""]"
C,9,coupling_positive,6,7,persisted,shape,5809,6238,-0.5938760826696986,-0.2956079999146801,1.13848253906983,-0.3345786338098898,0.3584802821417121,0.3699818722338414,-1.0001685059584111,1,anisotropy_delta,13.024141472678105,1.588629216078744,0.0,8.393226681809633,3.042285574789727,0.0,2.28918783901417,0,0.1090909090909091,0.8625180102440132,1.039293354902603,-0.2133735128704193,0.0556029323244207,0.1289378550525047,0.9058357720778104,0.1494900437105391,0.8715881495871782,749.0,5262.0,5809.0,5809.0,0.2418506652679268,1.1484720178542562,1.3543783115923795,0.573302824103044,-2.047811588621392,0.1997157063504112,0.4376307758590042,-0.8026307090840106,0.0105009468066792,0.7901532105353761,0.0786710277156137,0.1206748149423308,0.0434191355026712,0.688003885381253,0.05808644973288,0.2104905293831957,61.0,4590.0,457.0,701.0,5809.0,5809.0,5809.0,5809.0,0.8784932801023984,1.0137269753830265,-0.1868968442826516,0.0196691471153419,0.0891719745222929,0.910828025477707,0.1015055852355512,0.8984944147644488,518.0,5291.0,5809.0,5809.0,,28479.0,28479.0,28479.0,28479.0,28479.0,28479.0,28479.0,,28479.0,0.64259,0.35741,0.26909,0.22326,0.3735,0.13415,0.68378,,0.2389,0.45370789818021,1.9821824842784,0.3307925114842293,2.201716299419365,0.542262922023857,1.6168219209522112,1.453061236912802,,0.026897393981935,-1.1401643204363432,0.9870897864628352,-1.5960015198866675,1.1386285834400616,-0.8829355674249382,0.6931607870950683,0.5390955042992001,,-5.216389789112651,42,2a4df2dad99c056636cfbebfe56ccf95a5d9fad72ba22bb98be1069f08df3c18,C|coupling_positive|persisted|6|7,6→7,6.5,coupling_positive,object,confirmation,late,far,0.0,0.0,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C,C,0.9995142384978268,0.0004857615021731478,0.9990284769956537,0.9990284769956537,True,0.0,-0.9990284769956537,0.0004858795225130347,confirmation_leave_object_out::coupling_positive,coupling_positive,confirmation,logreg_balanced_scaled_median_imputed,"[""mean_lambda_local_mean"", ""mean_delta_d_mean"", ""bounded_share_mean""]"
C,9,coupling_positive,6,7,union,shape,5809,6238,-0.5938760826696986,-0.2956079999146801,1.13848253906983,-0.3345786338098898,0.3584802821417121,0.3699818722338414,-1.0001685059584111,1,anisotropy_delta,13.024141472678105,1.588629216078744,0.0,8.393226681809633,3.042285574789727,0.0,2.28918783901417,0,0.1090909090909091,0.8625180102440132,1.039293354902603,-0.2133735128704193,0.0556029323244207,0.1289378550525047,0.9058357720778104,0.1494900437105391,0.8715881495871782,749.0,5262.0,5809.0,5809.0,0.2418506652679268,1.1484720178542562,1.3543783115923795,0.573302824103044,-2.047811588621392,0.1997157063504112,0.4376307758590042,-0.8026307090840106,0.0105009468066792,0.7901532105353761,0.0786710277156137,0.1206748149423308,0.0434191355026712,0.688003885381253,0.05808644973288,0.2104905293831957,61.0,4590.0,457.0,701.0,5809.0,5809.0,5809.0,5809.0,0.8784932801023984,1.0137269753830265,-0.1868968442826516,0.0196691471153419,0.0891719745222929,0.910828025477707,0.1015055852355512,0.8984944147644488,518.0,5291.0,5809.0,5809.0,,28479.0,28479.0,28479.0,28479.0,28479.0,28479.0,28479.0,,28479.0,0.64259,0.35741,0.26909,0.22326,0.3735,0.13415,0.68378,,0.2389,0.45370789818021,1.9821824842784,0.3307925114842293,2.201716299419365,0.542262922023857,1.6168219209522112,1.453061236912802,,0.026897393981935,-1.1401643204363432,0.9870897864628352,-1.5960015198866675,1.1386285834400616,-0.8829355674249382,0.6931607870950683,0.5390955042992001,,-5.216389789112651,43,75f18798fd7572e729e36669ef56facd68638dfe7da5af1f320a82802e822f28,C|coupling_positive|union|6|7,6→7,6.5,coupling_positive,object,confirmation,late,far,0.0,0.0,C_vs_Cp2__stability_core_3,C_vs_Cp2,stability_core_3,C,C,0.9995142384978268,0.0004857615021731478,0.9990284769956537,0.9990284769956537,True,0.0,-0.9990284769956537,0.0004858795225130347,confirmation_leave_object_out::coupling_positive,coupling_positive,confirmation,logreg_balanced_scaled_median_imputed,"[""mean_lambda_local_mean"", ""mean_delta_d_mean"", ""bounded_share_mean""]"
