failure_predicate,partition,simulator_id,delta,control_response_lambda,addresses,macro_mean_gate_passage_probability,minimum_address_probability,maximum_address_probability,median_address_probability,mean_target_contrast,mean_control_adjusted_contrast
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,0.75,0.25,6,0.0,0.0,0.0,0.0,0.4306033756684491,0.3055570128809098
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,0.75,0.5,6,0.0,0.0,0.0,0.0,0.4300822873341257,0.18986892268270947
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,0.75,1.0,6,0.0,0.0,0.0,0.0,0.4327556384927708,0.0048407359661036126
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,1.0,0.0,6,0.0,0.0,0.0,0.0,0.5299240963557138,0.5299240963557138
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,1.0,0.25,6,0.0,0.0,0.0,0.0,0.5302768951772631,0.36454434329287316
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,1.0,0.5,6,0.0,0.0,0.0,0.0,0.5253211328976036,0.21378091789746212
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,1.0,1.0,6,0.0,0.0,0.0,0.0,0.5289533595761537,0.00016244588744589
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,1.5,0.0,6,0.0,0.0,0.0,0.0,0.6766826673598731,0.6766826673598731
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,1.5,0.25,6,0.0,0.0,0.0,0.0,0.6771047323727472,0.43521508811858073
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,1.5,0.5,6,0.0,0.0,0.0,0.0,0.6774765126757774,0.24983557033924686
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,1.5,1.0,6,0.0,0.0,0.0,0.0,0.677782617845118,0.0002817172070848473
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,2.0,0.0,6,0.0,0.0,0.0,0.0,0.7765634135472363,0.7765634135472363
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,2.0,0.25,6,0.0,0.0,0.0,0.0,0.7771985615963551,0.46719433002999183
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,2.0,0.5,6,0.0,0.0,0.0,0.0,0.7774337863933442,0.2505388287638288
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,2.0,1.0,6,0.0,0.0,0.0,0.0,0.7760939950980386,-0.0037934441579662165
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.25,0.0,6,0.0,0.0,0.0,0.0,0.17016412037037013,0.17016412037037013
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.25,0.25,6,0.0,0.0,0.0,0.0,0.1723999999999998,0.1352268518518518
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.25,0.5,6,0.0,0.0,0.0,0.0,0.1715726851851849,0.08858877314814816
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.25,1.0,6,0.0,0.0,0.0,0.0,0.1689252314814812,0.00343275462962963
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.5,0.0,6,0.0,0.0,0.0,0.0,0.3120641203703703,0.3120641203703703
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.5,0.25,6,0.0,0.0,0.0,0.0,0.3155796296296297,0.23240057870370376
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.5,0.5,6,0.0,0.0,0.0,0.0,0.31621273148148155,0.1497333333333334
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.5,1.0,6,0.0,0.0,0.0,0.0,0.3148638888888889,0.005614930555555557
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.75,0.0,6,0.0,0.0,0.0,0.0,0.42951527777777776,0.42951527777777776
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.75,0.25,6,0.0,0.0,0.0,0.0,0.4290789351851851,0.30399155092592584
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.75,0.5,6,0.0,0.0,0.0,0.0,0.4267027777777779,0.18524432870370364
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,0.75,1.0,6,0.0,0.0,0.0,0.0,0.42932476851851825,-0.0006017361111111151
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,1.0,0.0,6,0.0,0.0,0.0,0.0,0.5264104166666667,0.5264104166666667
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,1.0,0.25,6,0.0,0.0,0.0,0.0,0.5312377314814819,0.36556134259259226
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,1.0,0.5,6,0.0,0.0,0.0,0.0,0.525925925925926,0.21703287037037025
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,1.0,1.0,6,0.0,0.0,0.0,0.0,0.5286310185185187,-0.00021099537037036804
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,1.5,0.0,6,0.0,0.0,0.0,0.0,0.6773377314814818,0.6773377314814818
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,1.5,0.25,6,0.0,0.0,0.0,0.0,0.6782435185185185,0.4377292824074073
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,1.5,0.5,6,0.0,0.0,0.0,0.0,0.6728335648148148,0.24519317129629628
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,1.5,1.0,6,0.0,0.0,0.0,0.0,0.6742831018518523,-0.0025337962962962957
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,2.0,0.0,6,0.0,0.0,0.0,0.0,0.7772025462962961,0.7772025462962961
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,2.0,0.25,6,0.0,0.0,0.0,0.0,0.7751418981481484,0.464594675925926
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,2.0,0.5,6,0.0,0.0,0.0,0.0,0.7763879629629629,0.24836932870370365
measurement_missingness_concentration,discovery,joint_gaussian_regularized_cluster,2.0,1.0,6,0.0,0.0,0.0,0.0,0.7778203703703702,-0.004748495370370371
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.25,0.0,6,0.0,0.0,0.0,0.0,0.1713354166666665,0.1713354166666665
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.25,0.25,6,0.0,0.0,0.0,0.0,0.1714074074074072,0.13452858796296294
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.25,0.5,6,0.0,0.0,0.0,0.0,0.17209097222222206,0.08973819444444447
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.25,1.0,6,0.0,0.0,0.0,0.0,0.1693249999999998,0.002937037037037038
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.5,0.0,6,0.0,0.0,0.0,0.0,0.31032106481481486,0.31032106481481486
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.5,0.25,6,0.0,0.0,0.0,0.0,0.31418773148148144,0.23160613425925905
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.5,0.5,6,0.0,0.0,0.0,0.0,0.3120775462962964,0.14462384259259262
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.5,1.0,6,0.0,0.0,0.0,0.0,0.3136895833333333,0.0028531250000000054
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.75,0.0,6,0.0,0.0,0.0,0.0,0.4285293981481477,0.4285293981481477
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.75,0.25,6,0.0,0.0,0.0,0.0,0.4280395833333334,0.30246099537037013
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.75,0.5,6,0.0,0.0,0.0,0.0,0.42726388888888894,0.18547210648148152
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,0.75,1.0,6,0.0,0.0,0.0,0.0,0.4297965277777776,0.0008803240740740734
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,1.0,0.0,6,0.0,0.0,0.0,0.0,0.5284166666666666,0.5284166666666666
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,1.0,0.25,6,0.0,0.0,0.0,0.0,0.528833564814815,0.36406701388888885
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,1.0,0.5,6,0.0,0.0,0.0,0.0,0.5261699074074073,0.21513692129629627
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,1.0,1.0,6,0.0,0.0,0.0,0.0,0.527533101851852,-0.0016474537037037005
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,1.5,0.0,6,0.0,0.0,0.0,0.0,0.6734418981481487,0.6734418981481487
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,1.5,0.25,6,0.0,0.0,0.0,0.0,0.6753564814814815,0.43289409722222216
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,1.5,0.5,6,0.0,0.0,0.0,0.0,0.6756194444444451,0.24635937500000005
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,1.5,1.0,6,0.0,0.0,0.0,0.0,0.6735157407407412,-0.0031763888888888883
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,2.0,0.0,6,0.0,0.0,0.0,0.0,0.7764928240740736,0.7764928240740736
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,2.0,0.25,6,0.0,0.0,0.0,0.0,0.7783969907407403,0.4691613425925927
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,2.0,0.5,6,0.0,0.0,0.0,0.0,0.7793851851851844,0.2497921296296296
measurement_missingness_concentration,discovery,joint_wild_cluster_rademacher,2.0,1.0,6,0.0,0.0,0.0,0.0,0.7771266203703703,-0.003891319444444446
