scenario_id,address_id,record_id,support_id,relation,carrier,entitlement_status,partition,simulator_id,failure_predicate,delta,control_response_lambda,replicates,finite_target_replicates,overall_gate_passes,conditional_gate_passage_probability,monte_carlo_se,wilson_95_low,wilson_95_high,mean_target_contrast,sd_target_contrast,mean_target_response_from_simulated_null,mean_control_adjusted_contrast,mean_raw_permutation_p,support_available_pass_count,support_available_pass_probability,complement_admissible_pass_count,complement_admissible_pass_probability,effect_direction_reproduced_pass_count,effect_direction_reproduced_pass_probability,target_contrast_positive_pass_count,target_contrast_positive_pass_probability,minimum_effect_pass_count,minimum_effect_pass_probability,cluster_uncertainty_pass_count,cluster_uncertainty_pass_probability,raw_statistical_threshold_pass_count,raw_statistical_threshold_pass_probability,multiplicity_adjusted_threshold_pass_count,multiplicity_adjusted_threshold_pass_probability,control_adjusted_contrast_pass_count,control_adjusted_contrast_pass_probability,control_specificity_pass_count,control_specificity_pass_probability
BS-011a0c603aa10e8ed779f2d5,1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,discovery,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.3214166666666665,0.11702394766264114,0.3214166666666665,0.009645833333333331,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,979,0.979,0,0.0,0,0.0,0,0.0,373,0.373,557,0.557
BS-011a0c603aa10e8ed779f2d5,1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,discovery,joint_wild_cluster_rademacher,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.31037500000000023,0.11780245051739431,0.31037500000000023,-0.0002500000000000005,1.0,1000,1.0,1000,1.0,999,0.999,999,0.999,966,0.966,0,0.0,0,0.0,0,0.0,341,0.341,539,0.539
BS-011a0c603aa10e8ed779f2d5,bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.31074999999999997,0.10424576576379264,0.31074999999999997,-0.0011770833333333388,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,988,0.988,0,0.0,0,0.0,0,0.0,349,0.349,556,0.556
BS-011a0c603aa10e8ed779f2d5,bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,confirmation,joint_wild_cluster_rademacher,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.31658333333333283,0.10640852486080182,0.31658333333333283,0.0047916666666666784,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,988,0.988,0,0.0,0,0.0,0,0.0,362,0.362,581,0.581
BS-011a0c603aa10e8ed779f2d5,bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,discovery,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.3123583333333336,0.08790817178232338,0.3123583333333336,0.0013291666666666747,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,0,0.0,326,0.326,583,0.583
BS-011a0c603aa10e8ed779f2d5,bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,discovery,joint_wild_cluster_rademacher,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.31286666666666685,0.086578482380954,0.31286666666666685,0.0007125000000000045,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,996,0.996,0,0.0,0,0.0,0,0.0,315,0.315,608,0.608
BS-011a0c603aa10e8ed779f2d5,d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.311807486631016,0.0909990445503358,0.311807486631016,0.0009826203208556138,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,994,0.994,0,0.0,0,0.0,0,0.0,315,0.315,572,0.572
BS-011a0c603aa10e8ed779f2d5,d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,confirmation,joint_wild_cluster_rademacher,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.31071122994652445,0.08914219820726188,0.31071122994652445,-0.0019518716577540114,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,994,0.994,0,0.0,0,0.0,0,0.0,308,0.308,561,0.561
BS-011a0c603aa10e8ed779f2d5,d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,discovery,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.3148888888888889,0.11018656610928572,0.3148888888888889,0.006250000000000002,1.0,1000,1.0,1000,1.0,999,0.999,999,0.999,984,0.984,0,0.0,0,0.0,0,0.0,366,0.366,560,0.56
BS-011a0c603aa10e8ed779f2d5,d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,discovery,joint_wild_cluster_rademacher,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.314472222222222,0.11057441493526168,0.314472222222222,0.004569444444444447,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,983,0.983,0,0.0,0,0.0,0,0.0,357,0.357,579,0.579
BS-011a0c603aa10e8ed779f2d5,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.30889999999999995,0.14096333090794025,0.30889999999999995,-0.0010374999999999972,0.292,1000,1.0,1000,1.0,981,0.981,981,0.981,981,0.981,744,0.744,0,0.0,0,0.0,370,0.37,520,0.52
BS-011a0c603aa10e8ed779f2d5,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,confirmation,joint_wild_cluster_rademacher,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.3081000000000006,0.14637559843025824,0.3081000000000006,-0.0012374999999999988,0.300625,1000,1.0,1000,1.0,975,0.975,975,0.975,975,0.975,730,0.73,0,0.0,0,0.0,362,0.362,508,0.508
BS-011a0c603aa10e8ed779f2d5,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,discovery,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.3152000000000001,0.14700534197970944,0.3152000000000001,0.008150000000000003,0.282625,1000,1.0,1000,1.0,980,0.98,980,0.98,980,0.98,768,0.768,0,0.0,0,0.0,398,0.398,537,0.537
BS-011a0c603aa10e8ed779f2d5,fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,discovery,joint_wild_cluster_rademacher,measurement_missingness_concentration,0.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.31650000000000006,0.1475110487709661,0.31650000000000006,0.007591666666666697,0.290875,1000,1.0,1000,1.0,967,0.967,967,0.967,967,0.967,756,0.756,0,0.0,0,0.0,417,0.417,547,0.547
BS-01bc28268e93dc910e331392,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.679499999999999,0.11995551054326979,0.679499999999999,-0.00015277777777777862,0.25,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,386,0.386,594,0.594
BS-01bc28268e93dc910e331392,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_wild_cluster_rademacher,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.6792222222222221,0.11835527421242067,0.6792222222222221,0.003527777777777777,0.25,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,373,0.373,609,0.609
BS-01bc28268e93dc910e331392,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,discovery,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.678488888888889,0.10289012097514057,0.678488888888889,0.00448888888888888,0.125375,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,347,0.347,599,0.599
BS-01bc28268e93dc910e331392,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,discovery,joint_wild_cluster_rademacher,measurement_missingness_concentration,1.5,1.0,1000,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.6767333333333323,0.10501527960107694,0.6767333333333323,-0.0006555555555555618,0.125375,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,1000,1.0,0,0.0,0,0.0,345,0.345,614,0.614
