failure_predicate,partition,simulator_id,delta,control_response_lambda,gate_name,replicates,pass_count,pass_probability,failure_probability
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,0.5,control_specificity_pass,6000,4710,0.785,0.21499999999999997
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,1.0,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,1.0,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,1.0,effect_direction_reproduced_pass,6000,5564,0.9273333333333333,0.07266666666666666
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,1.0,target_contrast_positive_pass,6000,5564,0.9273333333333333,0.07266666666666666
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,1.0,minimum_effect_pass,6000,4530,0.755,0.245
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,1.0,cluster_uncertainty_pass,6000,959,0.15983333333333333,0.8401666666666667
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,1.0,raw_statistical_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,1.0,multiplicity_adjusted_threshold_pass,6000,0,0.0,1.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,1.0,control_adjusted_contrast_pass,6000,1970,0.3283333333333333,0.6716666666666666
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.25,1.0,control_specificity_pass,6000,3242,0.5403333333333333,0.45966666666666667
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.0,support_available_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.0,complement_admissible_pass,6000,6000,1.0,0.0
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.0,effect_direction_reproduced_pass,6000,5933,0.9888333333333333,0.011166666666666658
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,0.5,0.0,target_contrast_positive_pass,6000,5933,0.9888333333333333,0.011166666666666658
