source_role,field,dtype,unique_values,primary_field_role,allowed_as_predictor,allowed_for_matching,allowed_for_partitioning,manual_review_required
canonical_feature_table,outcome__nonrecovering__denom_paths,float64,115,grouping_partition,False,True,True,False
canonical_feature_table,outcome__recovering__denom_paths,float64,117,grouping_partition,False,True,True,False
canonical_feature_table,proj__nan__nan__n_paths,float64,0,grouping_partition,False,True,True,False
canonical_feature_table,proj__outcome_group__nonrecovering__n_paths,float64,121,grouping_partition,False,True,True,False
canonical_feature_table,proj__outcome_group__recovering__n_paths,float64,121,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__off_seam_reorganizing__n_paths,float64,120,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__reorganization_heavy__n_paths,float64,121,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__settled_distant__n_paths,float64,119,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__stable_seam_corridor__n_paths,float64,120,grouping_partition,False,True,True,False
canonical_feature_table,proj__seam_class__seam_contact__n_paths,float64,121,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__seam_class__seam_distant__n_paths,float64,94,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__seam_class__seam_grazing__n_paths,float64,108,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__outcome_group__nonrecovering__global_share,float64,3,candidate_predictor,True,False,False,False
canonical_feature_table,proj__outcome_group__recovering__global_share,float64,3,candidate_predictor,True,False,False,False
canonical_feature_table,proj__path_family__off_seam_reorganizing__global_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__reorganization_heavy__global_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__settled_distant__global_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__stable_seam_corridor__global_share,float64,3,grouping_partition,False,True,True,False
canonical_feature_table,proj__seam_class__seam_contact__global_share,float64,3,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__seam_class__seam_distant__global_share,float64,3,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__seam_class__seam_grazing__global_share,float64,3,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__outcome_group__nonrecovering__enrichment,float64,122,candidate_predictor,True,False,False,False
canonical_feature_table,proj__outcome_group__recovering__enrichment,float64,122,candidate_predictor,True,False,False,False
canonical_feature_table,proj__path_family__off_seam_reorganizing__enrichment,float64,121,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__reorganization_heavy__enrichment,float64,122,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__settled_distant__enrichment,float64,120,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__stable_seam_corridor__enrichment,float64,121,grouping_partition,False,True,True,False
canonical_feature_table,proj__seam_class__seam_contact__enrichment,float64,116,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__seam_class__seam_distant__enrichment,float64,95,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__seam_class__seam_grazing__enrichment,float64,109,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__outcome_group__nonrecovering__log2_enrichment,float64,122,candidate_predictor,True,False,False,False
canonical_feature_table,proj__outcome_group__recovering__log2_enrichment,float64,122,candidate_predictor,True,False,False,False
canonical_feature_table,proj__path_family__off_seam_reorganizing__log2_enrichment,float64,121,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__reorganization_heavy__log2_enrichment,float64,122,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__settled_distant__log2_enrichment,float64,120,grouping_partition,False,True,True,False
canonical_feature_table,proj__path_family__stable_seam_corridor__log2_enrichment,float64,121,grouping_partition,False,True,True,False
canonical_feature_table,proj__seam_class__seam_contact__log2_enrichment,float64,116,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__seam_class__seam_distant__log2_enrichment,float64,95,outcome_or_evaluation,False,False,False,False
canonical_feature_table,proj__seam_class__seam_grazing__log2_enrichment,float64,109,outcome_or_evaluation,False,False,False,False
canonical_feature_manifest,feature,str,112,metadata_unresolved,False,True,False,True
canonical_feature_manifest,family,str,6,metadata_unresolved,False,True,False,True
canonical_feature_manifest,role,str,4,metadata_unresolved,False,True,False,True
canonical_feature_manifest,strict_excluded,bool,2,candidate_predictor,True,False,False,False
canonical_feature_manifest,n_non_null,int64,9,candidate_predictor,True,False,False,False
canonical_feature_manifest,n_unique,int64,33,candidate_predictor,True,False,False,False
canonical_feature_manifest,dtype,str,4,metadata_unresolved,False,True,False,True
leave_structure_predictions,row_id,int64,168,candidate_predictor,True,False,False,False
leave_structure_predictions,case,str,3,metadata_unresolved,False,True,False,True
leave_structure_predictions,object,str,8,grouping_partition,False,True,True,False
leave_structure_predictions,cohort,str,6,grouping_partition,False,True,True,False
leave_structure_predictions,transition,str,5,grouping_partition,False,True,True,False
leave_structure_predictions,scheme,str,6,grouping_partition,False,True,True,False
leave_structure_predictions,model,str,4,provenance,False,True,False,False
leave_structure_predictions,heldout_group,str,89,metadata_unresolved,False,True,False,True
leave_structure_predictions,prediction,str,3,outcome_or_evaluation,False,False,False,False
leave_structure_predictions,correct,bool,2,forbidden_predictive_leakage,False,False,False,False
pairwise_predictions,row_id,int64,168,candidate_predictor,True,False,False,False
pairwise_predictions,case,str,3,metadata_unresolved,False,True,False,True
pairwise_predictions,object,str,8,grouping_partition,False,True,True,False
pairwise_predictions,cohort,str,6,grouping_partition,False,True,True,False
pairwise_predictions,transition,str,5,grouping_partition,False,True,True,False
pairwise_predictions,pair,str,3,metadata_unresolved,False,True,False,True
pairwise_predictions,feature_panel,str,7,metadata_unresolved,False,True,False,True
pairwise_predictions,scheme,str,4,grouping_partition,False,True,True,False
pairwise_predictions,model,str,4,provenance,False,True,False,False
pairwise_predictions,heldout_group,str,20,metadata_unresolved,False,True,False,True
pairwise_predictions,prediction,str,3,outcome_or_evaluation,False,False,False,False
pairwise_predictions,correct,bool,2,forbidden_predictive_leakage,False,False,False,False
numeric_transform_predictions,row_id,int64,168,candidate_predictor,True,False,False,False
numeric_transform_predictions,case,str,3,metadata_unresolved,False,True,False,True
numeric_transform_predictions,object,str,8,grouping_partition,False,True,True,False
numeric_transform_predictions,cohort,str,6,grouping_partition,False,True,True,False
numeric_transform_predictions,transition,str,5,grouping_partition,False,True,True,False
numeric_transform_predictions,task,str,4,metadata_unresolved,False,True,False,True
numeric_transform_predictions,transform,str,7,metadata_unresolved,False,True,False,True
numeric_transform_predictions,scheme,str,4,grouping_partition,False,True,True,False
numeric_transform_predictions,model,str,4,provenance,False,True,False,False
numeric_transform_predictions,heldout_group,str,20,metadata_unresolved,False,True,False,True
numeric_transform_predictions,prediction,str,3,outcome_or_evaluation,False,False,False,False
numeric_transform_predictions,correct,bool,2,forbidden_predictive_leakage,False,False,False,False
scale_band_predictions,row_id,int64,168,candidate_predictor,True,False,False,False
scale_band_predictions,case,str,3,metadata_unresolved,False,True,False,True
