address_id,record_id,support_id,relation,carrier,entitlement_status,partition,reliability_target,candidate_scenario_cells,selected_nominal_k_values_json,minimum_selected_nominal_k,median_selected_nominal_k,maximum_selected_nominal_k,minimum_selected_support_efficiency,median_selected_support_efficiency,minimum_selected_mean_effective_clusters,median_selected_mean_effective_clusters,attrition_class,support_protection_requirement,high_attrition_efficiency_threshold,moderate_attrition_efficiency_threshold,extrapolated_nominal_k,extrapolation_status
1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,discovery,0.8,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
1dbc920edffba9363b404b4e,Cp2_vs_Cp3__stability_plus_geometry,3e971f0bc08c8189f389,Cp2_vs_Cp3,stability_plus_geometry,fl3_entitled,discovery,0.9,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,confirmation,0.5,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,confirmation,0.8,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,confirmation,0.9,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,discovery,0.5,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,discovery,0.8,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
bfa569fbae807b7f50c3389f,C_vs_Cp2__stability_core_3,c683c10822cc59ae7587,C_vs_Cp2,stability_core_3,fl3_entitled,discovery,0.9,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,confirmation,0.5,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,confirmation,0.8,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,confirmation,0.9,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,discovery,0.5,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,discovery,0.8,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
d10b3aec4edc47fefb2bd92f,C_vs_Cp3__geometry_scores_only,8eb760d133ac749e3327,C_vs_Cp3,geometry_scores_only,fl3_entitlement_capped,discovery,0.9,0,[],,,,,,,,not_applicable_no_candidate,no candidate allocation under tested envelope,0.3333333333333333,0.5,,not_performed
fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,confirmation,0.5,17,"[5,6,8,12]",5.0,6.0,12.0,0.7376666666666667,0.7461666666666668,3.713,4.474,lower_attrition_within_observed_envelope,preserve independence and frozen admissibility checks; retain support-loss monitoring,0.3333333333333333,0.5,,not_performed
fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,confirmation,0.8,15,"[6,8,10,12]",6.0,8.0,12.0,0.7413000000000001,0.7466999999999999,4.519,6.018,lower_attrition_within_observed_envelope,preserve independence and frozen admissibility checks; retain support-loss monitoring,0.3333333333333333,0.5,,not_performed
fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,confirmation,0.9,13,"[8,10,12]",8.0,10.0,12.0,0.7413000000000001,0.7470833333333333,5.964,7.44,lower_attrition_within_observed_envelope,preserve independence and frozen admissibility checks; retain support-loss monitoring,0.3333333333333333,0.5,,not_performed
fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,discovery,0.5,17,"[5,6,8,12]",5.0,6.0,12.0,0.7374999999999999,0.7451666666666666,3.719,4.471,lower_attrition_within_observed_envelope,preserve independence and frozen admissibility checks; retain support-loss monitoring,0.3333333333333333,0.5,,not_performed
fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,discovery,0.8,15,"[6,8,10,12]",6.0,8.0,12.0,0.741125,0.7465,4.472,5.993,lower_attrition_within_observed_envelope,preserve independence and frozen admissibility checks; retain support-loss monitoring,0.3333333333333333,0.5,,not_performed
fe17c18b39eb86c6e9f982bd,C_vs_Cp3__path_shares_only,28ecf7e42b861405b6b3,C_vs_Cp3,path_shares_only,fl3_entitled,discovery,0.9,14,"[8,10,12]",8.0,9.0,12.0,0.743,0.7478,5.944,6.7219999999999995,lower_attrition_within_observed_envelope,preserve independence and frozen admissibility checks; retain support-loss monitoring,0.3333333333333333,0.5,,not_performed
