address_id,aggregation_level,base_scenario_id,carrier,control_response_lambda,delta,effective_cluster_histogram_json,effective_resolution_attainable_probability,entitlement_status,failure_predicate,maximum_effective_cluster_count,mean_effective_cluster_count,median_effective_cluster_count,minimum_effective_cluster_count,minimum_observed_raw_p,nominal_cluster_count,nominal_support_efficiency,partition,probability_effective_k_at_least_4,probability_effective_k_at_least_6,probability_effective_k_at_least_8,prospective_cluster_count,record_id,relation,replicates,scenario_id,simulator_id,support_id,uncertainty_status_counts_json
03ef63db7584762143dc3914,cell,BS-fdf9aaf236c4b1e795e2a680,no_window,0.25,0.75,"{""0"":130,""1"":388,""2"":364,""3"":118}",0.0,fl3_entitlement_capped,measurement_missingness_concentration,3,1.47,1.0,0,0.125,3,0.49,confirmation,0.0,0.0,0.0,3,three_way__no_window,three_way,1000,CS-018950136999421cc06ba625,joint_gaussian_regularized_cluster,114bd7932e0008f8ef79,"{""exact_direction_failure"":13,""exact_insufficient_clusters"":518,""exact_positive_certificate"":462,""mc_percentile_ambiguous_vector"":7}"
03ef63db7584762143dc3914,cell,BS-36275dd0a117d16dd0982de7,no_window,0.5,0.75,"{""0"":125,""1"":355,""2"":372,""3"":148}",0.0,fl3_entitlement_capped,measurement_missingness_concentration,3,1.543,2.0,0,0.125,3,0.5143333333333333,confirmation,0.0,0.0,0.0,3,three_way__no_window,three_way,1000,CS-2daf6019ac8bd3dbf1484d89,joint_gaussian_regularized_cluster,114bd7932e0008f8ef79,"{""exact_direction_failure"":14,""exact_insufficient_clusters"":480,""exact_positive_certificate"":495,""mc_percentile_ambiguous_vector"":11}"
03ef63db7584762143dc3914,cell,BS-984fc7b996a68b9acc730b5e,no_window,1.0,0.75,"{""0"":114,""1"":346,""2"":398,""3"":142}",0.0,fl3_entitlement_capped,measurement_missingness_concentration,3,1.568,2.0,0,0.125,3,0.5226666666666667,confirmation,0.0,0.0,0.0,3,three_way__no_window,three_way,1000,CS-6276c55922ffad43ff1f27b1,joint_gaussian_regularized_cluster,114bd7932e0008f8ef79,"{""exact_direction_failure"":18,""exact_insufficient_clusters"":460,""exact_positive_certificate"":513,""mc_percentile_ambiguous_vector"":9}"
03ef63db7584762143dc3914,cell,BS-d4112dec03bd16d785b972b8,no_window,0.0,1.0,"{""0"":134,""1"":343,""2"":394,""3"":129}",0.0,fl3_entitlement_capped,measurement_missingness_concentration,3,1.518,2.0,0,0.125,3,0.506,confirmation,0.0,0.0,0.0,3,three_way__no_window,three_way,1000,CS-9343b96fe495e9f8d6985b90,joint_gaussian_regularized_cluster,114bd7932e0008f8ef79,"{""exact_direction_failure"":3,""exact_insufficient_clusters"":477,""exact_positive_certificate"":516,""mc_percentile_ambiguous_vector"":4}"
03ef63db7584762143dc3914,cell,BS-b31295a564809e9330eec836,no_window,0.25,1.0,"{""0"":127,""1"":367,""2"":387,""3"":119}",0.0,fl3_entitlement_capped,measurement_missingness_concentration,3,1.498,2.0,0,0.125,3,0.49933333333333335,confirmation,0.0,0.0,0.0,3,three_way__no_window,three_way,1000,CS-1087abb19acba5a137d5c49f,joint_gaussian_regularized_cluster,114bd7932e0008f8ef79,"{""exact_direction_failure"":8,""exact_insufficient_clusters"":494,""exact_positive_certificate"":497,""mc_percentile_ambiguous_vector"":1}"
03ef63db7584762143dc3914,cell,BS-2825e630f4c5487cb997971a,no_window,0.5,1.0,"{""0"":144,""1"":370,""2"":360,""3"":126}",0.0,fl3_entitlement_capped,measurement_missingness_concentration,3,1.468,1.0,0,0.125,3,0.48933333333333334,confirmation,0.0,0.0,0.0,3,three_way__no_window,three_way,1000,CS-189f3644650138f926f6acff,joint_gaussian_regularized_cluster,114bd7932e0008f8ef79,"{""exact_direction_failure"":6,""exact_insufficient_clusters"":514,""exact_positive_certificate"":478,""mc_percentile_ambiguous_vector"":2}"
03ef63db7584762143dc3914,cell,BS-7b11bc1c6b07af88edb8068b,no_window,1.0,1.0,"{""0"":121,""1"":386,""2"":382,""3"":111}",0.0,fl3_entitlement_capped,measurement_missingness_concentration,3,1.483,1.0,0,0.125,3,0.49433333333333335,confirmation,0.0,0.0,0.0,3,three_way__no_window,three_way,1000,CS-5345bc53822e8ab5dd8794d7,joint_gaussian_regularized_cluster,114bd7932e0008f8ef79,"{""exact_direction_failure"":6,""exact_insufficient_clusters"":507,""exact_positive_certificate"":486,""mc_percentile_ambiguous_vector"":1}"
03ef63db7584762143dc3914,cell,BS-eb4c5c34e89010c6f92d6af3,no_window,0.0,1.5,"{""0"":113,""1"":385,""2"":394,""3"":108}",0.0,fl3_entitlement_capped,measurement_missingness_concentration,3,1.497,2.0,0,0.125,3,0.49900000000000005,confirmation,0.0,0.0,0.0,3,three_way__no_window,three_way,1000,CS-3ddad9bd8208486d1c10d254,joint_gaussian_regularized_cluster,114bd7932e0008f8ef79,"{""exact_direction_failure"":1,""exact_insufficient_clusters"":498,""exact_positive_certificate"":501}"
03ef63db7584762143dc3914,cell,BS-0fbf8adee07e241802dbaac2,no_window,0.25,1.5,"{""0"":109,""1"":371,""2"":390,""3"":130}",0.0,fl3_entitlement_capped,measurement_missingness_concentration,3,1.541,2.0,0,0.125,3,0.5136666666666666,confirmation,0.0,0.0,0.0,3,three_way__no_window,three_way,1000,CS-d8165f86df18134e0c5a0c78,joint_gaussian_regularized_cluster,114bd7932e0008f8ef79,"{""exact_direction_failure"":1,""exact_insufficient_clusters"":480,""exact_positive_certificate"":519}"
03ef63db7584762143dc3914,cell,BS-a3427a0f910730161bf52fa0,no_window,0.5,1.5,"{""0"":119,""1"":364,""2"":393,""3"":124}",0.0,fl3_entitlement_capped,measurement_missingness_concentration,3,1.522,2.0,0,0.125,3,0.5073333333333333,confirmation,0.0,0.0,0.0,3,three_way__no_window,three_way,1000,CS-becdfa746b9a39d1602e7094,joint_gaussian_regularized_cluster,114bd7932e0008f8ef79,"{""exact_direction_failure"":1,""exact_insufficient_clusters"":483,""exact_positive_certificate"":516}"
