address_id,simulator_id,delta,control_response_lambda,comparison_type,left_label,right_label,mean_absolute_probability_difference,maximum_absolute_probability_difference,trajectory_pearson_correlation,first_pass_k_left,first_pass_k_right,first_pass_k_agreement,empirical_passability_agreement,minimum_k_0_50_agreement,minimum_k_0_80_agreement,minimum_k_0_90_agreement,final_probability_left,final_probability_right,probability_vector_left_json,probability_vector_right_json
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,2.0,0.25,partition,discovery,confirmation,0.24271428571428572,0.46299999999999997,0.8967233140138894,4.0,4.0,True,True,False,False,False,1.0,0.919,"{""10"":0.995,""12"":1.0,""3"":0.0,""4"":0.316,""5"":0.623,""6"":0.819,""8"":0.969}","{""10"":0.836,""12"":0.919,""3"":0.0,""4"":0.062,""5"":0.192,""6"":0.356,""8"":0.658}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,0.25,0.5,partition,discovery,confirmation,0.14385714285714288,0.267,0.9568196463632799,4.0,4.0,True,True,False,True,True,0.694,0.563,"{""10"":0.649,""12"":0.694,""3"":0.0,""4"":0.079,""5"":0.179,""6"":0.336,""8"":0.539}","{""10"":0.444,""12"":0.563,""3"":0.0,""4"":0.014,""5"":0.056,""6"":0.12,""8"":0.272}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,0.5,0.5,partition,discovery,confirmation,0.20785714285714288,0.38,0.9281537010994092,4.0,4.0,True,True,False,False,False,0.902,0.787,"{""10"":0.865,""12"":0.902,""3"":0.0,""4"":0.17,""5"":0.419,""6"":0.617,""8"":0.798}","{""10"":0.665,""12"":0.787,""3"":0.0,""4"":0.024,""5"":0.116,""6"":0.237,""8"":0.487}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,0.75,0.5,partition,discovery,confirmation,0.21842857142857142,0.39899999999999997,0.9255116757519235,4.0,4.0,True,True,False,False,False,0.956,0.85,"{""10"":0.931,""12"":0.956,""3"":0.0,""4"":0.25,""5"":0.491,""6"":0.69,""8"":0.888}","{""10"":0.753,""12"":0.85,""3"":0.0,""4"":0.053,""5"":0.154,""6"":0.291,""8"":0.576}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,1.0,0.5,partition,discovery,confirmation,0.23700000000000004,0.453,0.9059924773282222,4.0,4.0,True,True,False,False,False,0.983,0.892,"{""10"":0.968,""12"":0.983,""3"":0.0,""4"":0.259,""5"":0.562,""6"":0.747,""8"":0.915}","{""10"":0.772,""12"":0.892,""3"":0.0,""4"":0.051,""5"":0.172,""6"":0.294,""8"":0.594}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,1.5,0.5,partition,discovery,confirmation,0.24071428571428571,0.457,0.8977990769944684,4.0,4.0,True,True,False,False,False,0.988,0.912,"{""10"":0.978,""12"":0.988,""3"":0.0,""4"":0.282,""5"":0.589,""6"":0.793,""8"":0.935}","{""10"":0.797,""12"":0.912,""3"":0.0,""4"":0.058,""5"":0.18,""6"":0.336,""8"":0.597}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,2.0,0.5,partition,discovery,confirmation,0.25099999999999995,0.472,0.8900170363300676,4.0,4.0,True,True,False,False,False,0.999,0.923,"{""10"":0.99,""12"":0.999,""3"":0.0,""4"":0.309,""5"":0.634,""6"":0.818,""8"":0.963}","{""10"":0.808,""12"":0.923,""3"":0.0,""4"":0.058,""5"":0.195,""6"":0.346,""8"":0.626}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,0.25,1.0,partition,discovery,confirmation,0.05385714285714286,0.11800000000000001,0.892575538304504,4.0,4.0,True,True,True,True,True,0.206,0.19,"{""10"":0.223,""12"":0.206,""3"":0.0,""4"":0.032,""5"":0.081,""6"":0.151,""8"":0.229}","{""10"":0.15,""12"":0.19,""3"":0.0,""4"":0.012,""5"":0.025,""6"":0.057,""8"":0.111}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,0.5,1.0,partition,discovery,confirmation,0.06500000000000002,0.12400000000000001,0.8392772732539516,4.0,4.0,True,True,True,True,True,0.229,0.268,"{""10"":0.267,""12"":0.229,""3"":0.0,""4"":0.087,""5"":0.183,""6"":0.229,""8"":0.277}","{""10"":0.234,""12"":0.268,""3"":0.0,""4"":0.018,""5"":0.068,""6"":0.105,""8"":0.202}"
03ef63db7584762143dc3914,joint_gaussian_regularized_cluster,0.75,1.0,partition,discovery,confirmation,0.07757142857142858,0.16800000000000004,0.7624372581278461,4.0,4.0,True,True,True,True,True,0.252,0.275,"{""10"":0.274,""12"":0.252,""3"":0.0,""4"":0.114,""5"":0.22,""6"":0.272,""8"":0.289}","{""10"":0.257,""12"":0.275,""3"":0.0,""4"":0.023,""5"":0.059,""6"":0.104,""8"":0.206}"
