address_id,record_id,support_id,relation,carrier,entitlement_status,partition,simulator_id,failure_predicate,delta,control_response_lambda,trajectory_class,probability_shape,first_empirically_passable_k,empirically_passable,maximum_gate_passage_probability,final_tested_gate_passage_probability,k_at_maximum_probability,minimum_k_for_probability_0_50,minimum_k_for_probability_0_80,minimum_k_for_probability_0_90,material_nonmonotone,probability_improving_without_0_50_reliability,late_probability_increment,late_probability_plateau_within_epsilon,late_gain_from_k6_to_max,final_mean_effective_cluster_count,probability_vector_json,mean_effective_cluster_vector_json,probability_k03,probability_k04,probability_k05,probability_k06,probability_k08,probability_k10,probability_k12,trajectory_hash
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.0,0.25,early_passable,observed_non_decreasing,4.0,True,0.93,0.93,12,8.0,10.0,12.0,False,False,0.125,False,0.607,5.939,"{""10"":0.805,""12"":0.93,""3"":0.0,""4"":0.053,""5"":0.169,""6"":0.323,""8"":0.623}","{""10"":4.922,""12"":5.939,""3"":1.498,""4"":1.978,""5"":2.479,""6"":2.969,""8"":3.911}",0.0,0.053,0.169,0.323,0.623,0.805,0.93,fd5ab9eef4cac5abfa07ea66f1b3518af42283e17aab375c6ee44be81fa45743
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.5,0.25,early_passable,observed_non_decreasing,4.0,True,0.926,0.926,12,8.0,10.0,12.0,False,False,0.09600000000000009,False,0.5710000000000001,6.0,"{""10"":0.83,""12"":0.926,""3"":0.0,""4"":0.061,""5"":0.186,""6"":0.355,""8"":0.639}","{""10"":5.003,""12"":6.0,""3"":1.541,""4"":2.054,""5"":2.564,""6"":3.045,""8"":4.004}",0.0,0.061,0.186,0.355,0.639,0.83,0.926,da79bd722691275bec05156f77e46ab59e3fbe9de313081d655dc7ae23b12766
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,2.0,0.25,early_passable,observed_non_decreasing,4.0,True,0.919,0.919,12,8.0,10.0,12.0,False,False,0.08300000000000007,False,0.5630000000000001,6.021,"{""10"":0.836,""12"":0.919,""3"":0.0,""4"":0.062,""5"":0.192,""6"":0.356,""8"":0.658}","{""10"":5.043,""12"":6.021,""3"":1.512,""4"":2.032,""5"":2.538,""6"":3.051,""8"":4.056}",0.0,0.062,0.192,0.356,0.658,0.836,0.919,d8abafd49032694f75ebf881daf9c70e17532671f363d0cc21a8338f0ab7959e
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.25,0.5,early_passable,observed_non_decreasing,4.0,True,0.563,0.563,12,12.0,,,False,False,0.11899999999999994,False,0.44299999999999995,5.963,"{""10"":0.444,""12"":0.563,""3"":0.0,""4"":0.014,""5"":0.056,""6"":0.12,""8"":0.272}","{""10"":4.976,""12"":5.963,""3"":1.445,""4"":1.963,""5"":2.453,""6"":2.958,""8"":3.958}",0.0,0.014,0.056,0.12,0.272,0.444,0.563,361c7b0aa59cc96098fd0673fe4913a2f37be97c4dc14d942a674acacf3b1ffb
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.5,0.5,early_passable,observed_non_decreasing,4.0,True,0.787,0.787,12,10.0,,,False,False,0.122,False,0.55,6.001,"{""10"":0.665,""12"":0.787,""3"":0.0,""4"":0.024,""5"":0.116,""6"":0.237,""8"":0.487}","{""10"":4.993,""12"":6.001,""3"":1.488,""4"":1.998,""5"":2.482,""6"":2.983,""8"":3.969}",0.0,0.024,0.116,0.237,0.487,0.665,0.787,82968b9eef6320d551e960d5c34c7cc4c0bbb377f7f751a5eb0ebc6f5f3e7e9d
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.75,0.5,early_passable,observed_non_decreasing,4.0,True,0.85,0.85,12,8.0,12.0,,False,False,0.09699999999999998,False,0.5589999999999999,5.996,"{""10"":0.753,""12"":0.85,""3"":0.0,""4"":0.053,""5"":0.154,""6"":0.291,""8"":0.576}","{""10"":4.972,""12"":5.996,""3"":1.543,""4"":2.027,""5"":2.526,""6"":3.019,""8"":4.003}",0.0,0.053,0.154,0.291,0.576,0.753,0.85,0946bd102d61f83ce6910fadbb53aee833502b9e2e16a6caf35375c4a6bcf36b
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.0,0.5,early_passable,observed_non_decreasing,4.0,True,0.892,0.892,12,8.0,12.0,,False,False,0.12,False,0.5980000000000001,5.967,"{""10"":0.772,""12"":0.892,""3"":0.0,""4"":0.051,""5"":0.172,""6"":0.294,""8"":0.594}","{""10"":4.965,""12"":5.967,""3"":1.468,""4"":1.973,""5"":2.475,""6"":2.99,""8"":3.99}",0.0,0.051,0.172,0.294,0.594,0.772,0.892,42931a67c36df6696c068e0358798f9dfe87d5b40afc48fa157d4801a87fab7f
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,1.5,0.5,early_passable,observed_non_decreasing,4.0,True,0.912,0.912,12,8.0,12.0,12.0,False,False,0.11499999999999999,False,0.5760000000000001,5.989,"{""10"":0.797,""12"":0.912,""3"":0.0,""4"":0.058,""5"":0.18,""6"":0.336,""8"":0.597}","{""10"":4.989,""12"":5.989,""3"":1.522,""4"":2.022,""5"":2.497,""6"":2.996,""8"":3.994}",0.0,0.058,0.18,0.336,0.597,0.797,0.912,81f577ee5aa1ec3bef3b241beb7d51afe32c38b9f1437e574b8312bc3989cbab
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,2.0,0.5,early_passable,observed_non_decreasing,4.0,True,0.923,0.923,12,8.0,10.0,12.0,False,False,0.11499999999999999,False,0.5770000000000001,6.038,"{""10"":0.808,""12"":0.923,""3"":0.0,""4"":0.058,""5"":0.195,""6"":0.346,""8"":0.626}","{""10"":5.035,""12"":6.038,""3"":1.512,""4"":2.053,""5"":2.581,""6"":3.07,""8"":4.034}",0.0,0.058,0.195,0.346,0.626,0.808,0.923,9c5727aed7dbf59900a19c5530931ccb8c48811d82ad08e0244d1010faa7acb3
03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,0.25,1.0,early_passable,observed_non_decreasing,4.0,True,0.19,0.19,12,,,,False,True,0.04000000000000001,False,0.133,5.948,"{""10"":0.15,""12"":0.19,""3"":0.0,""4"":0.012,""5"":0.025,""6"":0.057,""8"":0.111}","{""10"":4.975,""12"":5.948,""3"":1.474,""4"":1.986,""5"":2.483,""6"":2.959,""8"":4.0}",0.0,0.012,0.025,0.057,0.111,0.15,0.19,7113dd82351cbd3ce6cef0fd87a63e01506fba7bfed8d19379288a56cb098487
