scenario_id,base_scenario_id,address_id,record_id,support_id,relation,carrier,entitlement_status,partition,simulator_id,failure_predicate,prospective_cluster_count,delta,control_response_lambda,first_failure_status,gate_name,gate_order,replicate_count,replicate_probability,replicates
CS-92046ce8bdc11855cfc9bb39,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.0,first_failed_gate,minimum_effect_pass,5,243,0.243,1000
CS-92046ce8bdc11855cfc9bb39,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.0,first_failed_gate,cluster_uncertainty_pass,6,316,0.316,1000
CS-92046ce8bdc11855cfc9bb39,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.0,first_failed_gate,raw_statistical_threshold_pass,7,244,0.244,1000
CS-92046ce8bdc11855cfc9bb39,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.0,first_failed_gate,multiplicity_adjusted_threshold_pass,8,0,0.0,1000
CS-92046ce8bdc11855cfc9bb39,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.0,first_failed_gate,control_adjusted_contrast_pass,9,0,0.0,1000
CS-92046ce8bdc11855cfc9bb39,BS-86908245b500f51dceb1a9bd,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.0,first_failed_gate,control_specificity_pass,10,0,0.0,1000
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,overall_pass,none,0,0,0.0,1000
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,first_failed_gate,support_available_pass,1,0,0.0,1000
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,first_failed_gate,complement_admissible_pass,2,124,0.124,1000
CS-1ab68d0d559749c333e60fcc,BS-6158ce693345d379a6e101af,03ef63db7584762143dc3914,three_way__no_window,114bd7932e0008f8ef79,three_way,no_window,fl3_entitlement_capped,confirmation,joint_gaussian_regularized_cluster,measurement_missingness_concentration,3,0.25,0.25,first_failed_gate,effect_direction_reproduced_pass,3,76,0.076,1000
