relation_id,obs,contract_family,contract_name,task,feature_contract,carrier_role,score,threshold,status,source_path,best_model,best_scheme,stratified_cv_best_ba,leave_object_out_best_ba,leave_cohort_out_best_ba,leave_transition_out_best_ba,ci_low,p_above_threshold,failure_rate,n_success,n_fail
three_way__stability_core_3,OBS-080a,numeric_transform,quantile_normal,three_way,stability_core_3,compact_core_carrier,0.9106060606060604,0.8,pass,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,logreg,leave_object_out,,,,,,,,,
three_way__stability_core_3,OBS-080a,numeric_transform,robust_median_iqr,three_way,stability_core_3,compact_core_carrier,0.9106060606060604,0.8,pass,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,tree_depth2,leave_object_out,,,,,,,,,
three_way__stability_core_3,OBS-080a,numeric_transform,standard_z,three_way,stability_core_3,compact_core_carrier,0.9106060606060604,0.8,pass,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,tree_depth2,leave_object_out,,,,,,,,,
three_way__stability_core_3,OBS-080a,numeric_transform,rank_percentile,three_way,stability_core_3,compact_core_carrier,0.8994949494949495,0.8,pass,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,tree_depth2,leave_object_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080a,numeric_transform,minmax,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,0.8916666666666666,0.75,pass,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,rf_depth2,leave_object_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080a,numeric_transform,rank_percentile,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,0.8916666666666666,0.75,pass,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,rf_depth2,leave_object_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080a,numeric_transform,raw,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,0.8916666666666666,0.75,pass,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,rf_depth2,leave_object_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080a,numeric_transform,robust_median_iqr,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,0.8916666666666666,0.75,pass,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,rf_depth2,leave_object_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080a,numeric_transform,signed_log1p_abs,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,0.8916666666666666,0.75,pass,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,rf_depth2,leave_object_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080a,numeric_transform,standard_z,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,0.8916666666666666,0.75,pass,outputs/comparisons/obs080a_stability_core_transform_sensitivity/obs080a_transform_stability_matrix.csv,rf_depth2,leave_object_out,,,,,,,,,
C_vs_Cp2__stability_core_3,OBS-080b,scale_band,all_but_early,C_vs_Cp2,stability_core_3,compact_core_carrier,1.0,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_object_out,,,,,,,,,
C_vs_Cp3__stability_core_3,OBS-080b,scale_band,all_but_early,C_vs_Cp3,stability_core_3,compact_core_carrier,1.0,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_cohort_out,,,,,,,,,
three_way__stability_core_3,OBS-080b,scale_band,late,three_way,stability_core_3,compact_core_carrier,1.0,0.8,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_cohort_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080b,scale_band,middle,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,1.0,0.75,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_object_out,,,,,,,,,
C_vs_Cp2__stability_core_3,OBS-080b,scale_band,late,C_vs_Cp2,stability_core_3,compact_core_carrier,1.0,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_cohort_out,,,,,,,,,
C_vs_Cp3__stability_core_3,OBS-080b,scale_band,middle,C_vs_Cp3,stability_core_3,compact_core_carrier,1.0,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_cohort_out,,,,,,,,,
C_vs_Cp3__stability_core_3,OBS-080b,scale_band,mid_to_coarse,C_vs_Cp3,stability_core_3,compact_core_carrier,1.0,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,leave_cohort_out,,,,,,,,,
C_vs_Cp3__stability_core_3,OBS-080b,scale_band,late,C_vs_Cp3,stability_core_3,compact_core_carrier,1.0,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_cohort_out,,,,,,,,,
Cp2_vs_Cp3__stability_core_3,OBS-080b,scale_band,all_but_early,Cp2_vs_Cp3,stability_core_3,compact_core_carrier,1.0,0.75,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,tree_depth2,leave_object_out,,,,,,,,,
C_vs_Cp2__stability_core_3,OBS-080b,scale_band,mid_to_coarse,C_vs_Cp2,stability_core_3,compact_core_carrier,1.0,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,logreg,leave_object_out,,,,,,,,,
C_vs_Cp3__stability_core_3,OBS-080b,scale_band,adjacent_only,C_vs_Cp3,stability_core_3,compact_core_carrier,0.9897959183673468,0.9,pass,outputs/comparisons/obs080b_stability_core_scale_band_sensitivity/obs080b_scale_band_stability_matrix.csv,rf_depth2,stratified_cv,,,,,,,,,
