address_id,partition,failure_predicate,component_role,record_id,control_family,cluster_id,object_contrast,site_rows,complement_rows,center_offset,centered_baseline_contrast,native_injection_scale
5664a919a73350d749e027dc,confirmation,relation_separation_attenuation,control,C_vs_Cp2__no_window,control,energy_ridge,,5,5,0.9707183837890625,-6.379863188854529e-07,0.25
5664a919a73350d749e027dc,confirmation,relation_separation_attenuation,control,C_vs_Cp2__no_window,control,seam_proxy,0.21727389044723244,5,18,0.9707183837890625,-6.379863188854529e-07,0.25
5664a919a73350d749e027dc,confirmation,relation_separation_attenuation,control,C_vs_Cp2__path_shares_only,control,coupling_negative,,2,4,0.3123016357421875,4.879667072632543e-07,0.25
5664a919a73350d749e027dc,confirmation,relation_separation_attenuation,control,C_vs_Cp2__path_shares_only,control,coupling_positive,,1,9,0.3123016357421875,4.879667072632543e-07,0.25
5664a919a73350d749e027dc,confirmation,relation_separation_attenuation,control,C_vs_Cp2__path_shares_only,control,energy_ridge,,5,5,0.3123016357421875,4.879667072632543e-07,0.25
5664a919a73350d749e027dc,confirmation,relation_separation_attenuation,control,C_vs_Cp2__path_shares_only,control,seam_proxy,0.005320148041913164,5,18,0.3123016357421875,4.879667072632543e-07,0.25
5664a919a73350d749e027dc,confirmation,relation_separation_attenuation,control,C_vs_Cp2__stability_core_3,control,coupling_negative,,2,4,1.1426544189453125,-4.563968358795023e-07,0.25
5664a919a73350d749e027dc,confirmation,relation_separation_attenuation,control,C_vs_Cp2__stability_core_3,control,coupling_positive,,1,9,1.1426544189453125,-4.563968358795023e-07,0.25
5664a919a73350d749e027dc,confirmation,relation_separation_attenuation,control,C_vs_Cp2__stability_core_3,control,energy_ridge,,5,5,1.1426544189453125,-4.563968358795023e-07,0.25
5664a919a73350d749e027dc,confirmation,relation_separation_attenuation,control,C_vs_Cp2__stability_core_3,control,seam_proxy,0.27737870986547564,5,18,1.1426544189453125,-4.563968358795023e-07,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,target,Cp2_vs_Cp3__geometry_scores_only,target,density_core,-1.1102230246251565e-16,2,10,0.0,0.0,0.25
f4f4a9de74337511940dbe01,discovery,relation_separation_attenuation,target,Cp2_vs_Cp3__geometry_scores_only,target,frobenius_ridge,0.0,4,20,0.0,0.0,0.25
