failure_predicate,partition,simulator_id,address_id,replicates,null_mean_target_contrast,null_sd_target_contrast,baseline_object_scale,standardized_null_bias,finite_rate,range_violations,identity_violations
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,2089c8ead568c49eba0d317f,128,0.0,0.0,0.05,0.0,0.546875,0,0
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,2f394559fbe5789c99da9eda,128,0.0,0.0,0.05,0.0,0.9140625,0,0
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,63063743372cd08e7e4c4ed8,128,-0.01435569706709414,0.04326047900363565,0.1366987817330413,0.10501700808957715,1.0,0,0
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,9a1b8537bb0aac4dd2f70530,128,0.1555005924232954,0.16793510959229038,0.05,3.110011848465908,0.9453125,0,0
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,a24a4754e3d139d456235b65,128,-0.020663956639566397,0.01918103753893111,0.05,0.41327913279132794,0.640625,0,0
local_criterion_breach,confirmation,joint_empirical_cluster_bootstrap,cba4ba2ba78612dd885992ab,128,0.06726321287980154,0.19993293395679998,0.05,1.3452642575960307,0.640625,0,0
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,2089c8ead568c49eba0d317f,128,0.004557291666666667,0.03604462566772347,0.05,0.09114583333333333,1.0,0,0
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,2f394559fbe5789c99da9eda,128,0.0,0.0,0.05,0.0,1.0,0,0
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,63063743372cd08e7e4c4ed8,128,-0.026671006944444457,0.02602833028297581,0.1366987817330413,0.1951078612867977,1.0,0,0
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,9a1b8537bb0aac4dd2f70530,128,0.03270934794372293,0.10336401090813148,0.05,0.6541869588744587,1.0,0,0
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,a24a4754e3d139d456235b65,128,-0.013592960858585862,0.22791652170548213,0.05,0.27185921717171724,1.0,0,0
local_criterion_breach,confirmation,joint_gaussian_regularized_cluster,cba4ba2ba78612dd885992ab,128,0.012825784412955458,0.25418034348963414,0.05,0.25651568825910914,1.0,0,0
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,2089c8ead568c49eba0d317f,128,0.0,0.0,0.05,0.0,1.0,0,0
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,2f394559fbe5789c99da9eda,128,0.0,0.0,0.05,0.0,1.0,0,0
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,63063743372cd08e7e4c4ed8,128,-0.004839409722222236,0.038911139262977505,0.1366987817330413,0.03540199598613181,1.0,0,0
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,9a1b8537bb0aac4dd2f70530,128,0.07575757575757572,2.786463527196397e-17,0.05,1.5151515151515142,1.0,0,0
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,a24a4754e3d139d456235b65,128,-0.1697048611111111,0.18097096619921355,0.05,3.394097222222222,1.0,0,0
local_criterion_breach,confirmation,joint_wild_cluster_rademacher,cba4ba2ba78612dd885992ab,128,0.15112996584008093,0.10684509654650592,0.05,3.0225993168016183,1.0,0,0
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,2089c8ead568c49eba0d317f,128,0.0,0.0,0.05,0.0,1.0,0,0
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,2f394559fbe5789c99da9eda,128,-0.03657460682777139,0.012541442005119783,0.05,0.7314921365554278,0.6171875,0,0
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,63063743372cd08e7e4c4ed8,128,0.07006909391777813,0.02034384946390413,0.09953596037316063,0.7039575813112052,1.0,0,0
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,9a1b8537bb0aac4dd2f70530,128,0.0,0.0,0.05,0.0,0.75,0,0
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,a24a4754e3d139d456235b65,128,-0.06722689075630252,0.0534555790519203,0.05,1.3445378151260503,0.9296875,0,0
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,cba4ba2ba78612dd885992ab,128,-0.08880998630998631,0.20905060908589013,0.05,1.776199726199726,0.703125,0,0
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,2089c8ead568c49eba0d317f,128,0.0670458447802198,0.0862775400346111,0.05,1.340916895604396,1.0,0,0
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,2f394559fbe5789c99da9eda,128,0.0021701388888888877,0.04014188391530057,0.05,0.04340277777777775,1.0,0,0
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,63063743372cd08e7e4c4ed8,128,0.010683479532163748,0.0491894605596941,0.09953596037316063,0.10733286233549512,1.0,0,0
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,9a1b8537bb0aac4dd2f70530,128,-0.0010580086032388656,0.054489856736509634,0.05,0.02116017206477731,1.0,0,0
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,a24a4754e3d139d456235b65,128,-0.05430772569444444,0.11979551753022154,0.05,1.0861545138888888,1.0,0,0
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,cba4ba2ba78612dd885992ab,128,0.2893880208333333,0.24184583557367392,0.05,5.787760416666666,1.0,0,0
local_criterion_breach,discovery,joint_wild_cluster_rademacher,2089c8ead568c49eba0d317f,128,0.056249999999999994,0.049802760572381144,0.05,1.1249999999999998,1.0,0,0
local_criterion_breach,discovery,joint_wild_cluster_rademacher,2f394559fbe5789c99da9eda,128,-0.027777777777777787,1.0449238226986488e-17,0.05,0.5555555555555557,1.0,0,0
local_criterion_breach,discovery,joint_wild_cluster_rademacher,63063743372cd08e7e4c4ed8,128,0.037724780701754376,0.02438230290308089,0.09953596037316063,0.3790065475866617,1.0,0,0
local_criterion_breach,discovery,joint_wild_cluster_rademacher,9a1b8537bb0aac4dd2f70530,128,0.0,0.0,0.05,0.0,1.0,0,0
local_criterion_breach,discovery,joint_wild_cluster_rademacher,a24a4754e3d139d456235b65,128,-0.0830078125,0.059271628311834156,0.05,1.66015625,1.0,0,0
local_criterion_breach,discovery,joint_wild_cluster_rademacher,cba4ba2ba78612dd885992ab,128,0.08105468749999999,0.2310932849458378,0.05,1.6210937499999996,1.0,0,0
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,3c58f494c94b8761a568ded4,128,-0.0014962613512785041,0.001172445030244932,0.05,0.029925227025570083,0.4453125,0,0
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,61cef129ca8cc734e59e4f58,128,0.0025038587214614542,0.023092073468251328,0.05,0.050077174429229085,1.0,0,0
