failure_predicate,partition,simulator_id,address_id,directionality_estimand,effect_levels,spearman_delta_target_response,monotonic_response_fraction,endpoint_target_response_change,minimum_finite_response_rate,spearman_delta_target_contrast,monotonic_contrast_fraction,endpoint_target_contrast_change,spearman_delta_target,monotonic_fraction,endpoint_target_change,minimum_finite_rate,effect_curve_json
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,2f394559fbe5789c99da9eda,target_response_from_simulated_null,4,0.7745966692414834,1.0,0.08333333333333333,0.6015625,0.7999999999999999,0.6666666666666666,0.08397165422481878,0.7745966692414834,1.0,0.08333333333333333,0.6015625,"[{""delta"":0.0,""finite_rate"":0.6171875,""finite_response_rate"":0.6171875,""mean_target_contrast"":-0.03657460682777138,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":0.6328125,""finite_response_rate"":0.6328125,""mean_target_contrast"":0.0472003990522509,""mean_target_response"":0.08333333333333333},{""delta"":0.5,""finite_rate"":0.6015625,""finite_response_rate"":0.6015625,""mean_target_contrast"":0.04624163715072805,""mean_target_response"":0.08333333333333333},{""delta"":1.0,""finite_rate"":0.609375,""finite_response_rate"":0.609375,""mean_target_contrast"":0.04739704739704739,""mean_target_response"":0.08333333333333333}]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,63063743372cd08e7e4c4ed8,target_response_from_simulated_null,4,1.0,1.0,0.45296378968253964,1.0,1.0,1.0,0.4556802015601357,1.0,1.0,0.45296378968253964,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.07006909391777812,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.2582581622507609,""mean_target_response"":0.1884114583333333},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.31699839770974636,""mean_target_response"":0.24922495039682538},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.5257492954779138,""mean_target_response"":0.45296378968253964}]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,9a1b8537bb0aac4dd2f70530,target_response_from_simulated_null,4,0.316227766016838,1.0,0.09999999999999999,0.671875,0.316227766016838,1.0,0.09999999999999999,0.316227766016838,1.0,0.09999999999999999,0.671875,"[{""delta"":0.0,""finite_rate"":0.75,""finite_response_rate"":0.75,""mean_target_contrast"":0.0,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":0.734375,""finite_response_rate"":0.734375,""mean_target_contrast"":0.1,""mean_target_response"":0.1},{""delta"":0.5,""finite_rate"":0.7265625,""finite_response_rate"":0.7265625,""mean_target_contrast"":0.1,""mean_target_response"":0.1},{""delta"":1.0,""finite_rate"":0.671875,""finite_response_rate"":0.671875,""mean_target_contrast"":0.09999999999999999,""mean_target_response"":0.09999999999999999}]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,a24a4754e3d139d456235b65,target_response_from_simulated_null,4,,1.0,0.0,0.9296875,0.39999999999999997,0.6666666666666666,0.009453781512605036,,1.0,0.0,0.9296875,"[{""delta"":0.0,""finite_rate"":0.9296875,""finite_response_rate"":0.9296875,""mean_target_contrast"":-0.06722689075630252,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":0.9375,""finite_response_rate"":0.9375,""mean_target_contrast"":-0.0546875,""mean_target_response"":0.0},{""delta"":0.5,""finite_rate"":0.9453125,""finite_response_rate"":0.9453125,""mean_target_contrast"":-0.0625,""mean_target_response"":0.0},{""delta"":1.0,""finite_rate"":0.9296875,""finite_response_rate"":0.9296875,""mean_target_contrast"":-0.05777310924369748,""mean_target_response"":0.0}]"
local_criterion_breach,discovery,joint_empirical_cluster_bootstrap,cba4ba2ba78612dd885992ab,target_response_from_simulated_null,4,0.7999999999999999,0.6666666666666666,0.339859437751004,0.6484375,0.39999999999999997,0.6666666666666666,0.305317775709342,0.7999999999999999,0.6666666666666666,0.339859437751004,0.6484375,"[{""delta"":0.0,""finite_rate"":0.703125,""finite_response_rate"":0.703125,""mean_target_contrast"":-0.08880998630998631,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":0.78125,""finite_response_rate"":0.78125,""mean_target_contrast"":0.24188003663003663,""mean_target_response"":0.32875},{""delta"":0.5,""finite_rate"":0.6796875,""finite_response_rate"":0.6796875,""mean_target_contrast"":0.2508367111815388,""mean_target_response"":0.32375478927203066},{""delta"":1.0,""finite_rate"":0.6484375,""finite_response_rate"":0.6484375,""mean_target_contrast"":0.21650778939935567,""mean_target_response"":0.339859437751004}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,2089c8ead568c49eba0d317f,target_response_from_simulated_null,4,1.0,1.0,0.08643973214285715,1.0,1.0,1.0,0.07789749313186813,1.0,1.0,0.08643973214285715,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.06704584478021978,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.06715745192307693,""mean_target_response"":0.019140625},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.09236349587912089,""mean_target_response"":0.04146205357142858},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.1449433379120879,""mean_target_response"":0.08643973214285715}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,2f394559fbe5789c99da9eda,target_response_from_simulated_null,4,1.0,1.0,0.0625,1.0,1.0,1.0,0.052734375,1.0,1.0,0.0625,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.002170138888888889,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.01909722222222222,""mean_target_response"":0.020182291666666664},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.04123263888888889,""mean_target_response"":0.04427083333333333},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.05490451388888889,""mean_target_response"":0.0625}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,63063743372cd08e7e4c4ed8,target_response_from_simulated_null,4,1.0,1.0,0.13949652777777777,1.0,1.0,1.0,0.13430738304093565,1.0,1.0,0.13949652777777777,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.010683479532163748,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.03087262426900585,""mean_target_response"":0.026041666666666668},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.07946454678362573,""mean_target_response"":0.07265624999999999},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.1449908625730994,""mean_target_response"":0.13949652777777777}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,9a1b8537bb0aac4dd2f70530,target_response_from_simulated_null,4,1.0,1.0,0.015625,1.0,0.39999999999999997,0.6666666666666666,0.010537386133603239,1.0,1.0,0.015625,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":-0.0010580086032388656,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.01343781629554656,""mean_target_response"":0.003125},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.014185855263157895,""mean_target_response"":0.008593749999999999},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":0.009479377530364373,""mean_target_response"":0.015625}]"
local_criterion_breach,discovery,joint_gaussian_regularized_cluster,a24a4754e3d139d456235b65,target_response_from_simulated_null,4,1.0,1.0,0.05338541666666667,1.0,0.7999999999999999,0.6666666666666666,0.04616970486111111,1.0,1.0,0.05338541666666667,1.0,"[{""delta"":0.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":-0.05430772569444444,""mean_target_response"":0.0},{""delta"":0.25,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":-0.061197916666666664,""mean_target_response"":0.011067708333333336},{""delta"":0.5,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":-0.023057725694444437,""mean_target_response"":0.0234375},{""delta"":1.0,""finite_rate"":1.0,""finite_response_rate"":1.0,""mean_target_contrast"":-0.008138020833333329,""mean_target_response"":0.05338541666666667}]"
