failure_predicate,partition,simulator_id,address_id,omitted_cluster,full_mean_target_contrast,loo_mean_target_contrast,full_replicate_scale,standardized_loo_change,loo_replicates,loo_status,structural_target_estimable,structural_control_estimable_count,simulation_error_count,loo_successful
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,abf87c205565392f1e00275c,energy_ridge,0.14480260462231725,0.11000246098037758,0.09552881171099314,0.36428950615675865,32,estimable,True,4,0,True
log_loss_attenuation,confirmation,joint_empirical_cluster_bootstrap,abf87c205565392f1e00275c,seam_proxy,0.14480260462231725,-0.025502181091198856,0.09552881171099314,1.782758339219643,32,estimable,True,4,0,True
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,abf87c205565392f1e00275c,coupling_negative,0.03272023585444822,0.44456375233882583,0.05,8.236870329687552,32,estimable,True,4,0,True
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,abf87c205565392f1e00275c,coupling_positive,0.03272023585444822,0.008029150819389435,0.05,0.49382170070117565,32,estimable,True,4,0,True
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,abf87c205565392f1e00275c,energy_ridge,0.03272023585444822,-0.06693186661976508,0.05,1.993042049484266,32,estimable,True,4,0,True
log_loss_attenuation,confirmation,joint_wild_cluster_rademacher,abf87c205565392f1e00275c,seam_proxy,0.03272023585444822,-0.04249911932842134,0.05,1.5043871036573913,32,estimable,True,4,0,True
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,coupling_negative,0.0013704411278214201,0.4092183656722506,0.06305305338538746,6.46832948836936,32,estimable,True,4,0,True
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,coupling_positive,0.0013704411278214201,-0.009474539297455778,0.06305305338538746,0.17199770420302155,32,estimable,True,4,0,True
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,energy_ridge,0.0013704411278214201,-0.0868847691546296,0.06305305338538746,1.399697644189015,32,estimable,True,4,0,True
log_loss_attenuation,confirmation,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,seam_proxy,0.0013704411278214201,-0.07239222298204998,0.06305305338538746,1.16985078674978,32,estimable,True,4,0,True
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,abf87c205565392f1e00275c,density_core,0.005201699877091859,,0.05,,32,structurally_unavailable,False,0,0,False
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,abf87c205565392f1e00275c,frobenius_ridge,0.005201699877091859,-0.014502073445656929,0.05,0.3940754664549757,32,estimable,True,4,0,True
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,abf87c205565392f1e00275c,lazarus_concentration,0.005201699877091859,-0.01674441273490617,0.05,0.43892225223996056,32,estimable,True,4,0,True
log_loss_attenuation,discovery,joint_empirical_cluster_bootstrap,abf87c205565392f1e00275c,response_ridge,0.005201699877091859,-0.003695756409204928,0.05,0.17794912572593571,32,estimable,True,4,0,True
log_loss_attenuation,discovery,joint_wild_cluster_rademacher,abf87c205565392f1e00275c,density_core,-0.009683618105987283,,0.05,,32,structurally_unavailable,False,0,0,False
log_loss_attenuation,discovery,joint_wild_cluster_rademacher,abf87c205565392f1e00275c,frobenius_ridge,-0.009683618105987283,-0.021516684065687457,0.05,0.23666131919400346,32,estimable,True,4,0,True
log_loss_attenuation,discovery,joint_wild_cluster_rademacher,abf87c205565392f1e00275c,lazarus_concentration,-0.009683618105987283,-0.02528202977652747,0.05,0.3119682334108037,32,estimable,True,4,0,True
log_loss_attenuation,discovery,joint_wild_cluster_rademacher,abf87c205565392f1e00275c,response_ridge,-0.009683618105987283,-0.02600550261569888,0.05,0.3264376901942319,32,estimable,True,4,0,True
log_loss_attenuation,discovery,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,density_core,-0.03454012718928556,,0.05,,32,structurally_unavailable,False,0,0,False
log_loss_attenuation,discovery,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,frobenius_ridge,-0.03454012718928556,-0.03959276463645314,0.05,0.10105274894335159,32,estimable,True,4,0,True
log_loss_attenuation,discovery,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,lazarus_concentration,-0.03454012718928556,-0.026329488480899308,0.05,0.1642127741677251,32,estimable,True,4,0,True
log_loss_attenuation,discovery,joint_gaussian_regularized_cluster,abf87c205565392f1e00275c,response_ridge,-0.03454012718928556,-0.04183439427826047,0.05,0.14588534177949808,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_empirical_cluster_bootstrap,bfa569fbae807b7f50c3389f,coupling_negative,0.5171782846782846,0.5552008177008176,0.06712348484848472,0.5664564810417667,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_empirical_cluster_bootstrap,bfa569fbae807b7f50c3389f,coupling_positive,0.5171782846782846,0.5196310394586257,0.06712348484848472,0.03654093326467666,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_empirical_cluster_bootstrap,bfa569fbae807b7f50c3389f,energy_ridge,0.5171782846782846,0.5238522126022126,0.06712348484848472,0.09942761373299912,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_empirical_cluster_bootstrap,bfa569fbae807b7f50c3389f,seam_proxy,0.5171782846782846,0.48518518518518516,0.06712348484848472,0.47663049028691334,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,bfa569fbae807b7f50c3389f,coupling_negative,0.5442708333333333,0.5142045454545454,0.0926625,0.324470933536089,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,bfa569fbae807b7f50c3389f,coupling_positive,0.5442708333333333,0.51171875,0.0926625,0.35129727056072585,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,bfa569fbae807b7f50c3389f,energy_ridge,0.5442708333333333,0.5200892857142858,0.0926625,0.2609636867022523,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_wild_cluster_rademacher,bfa569fbae807b7f50c3389f,seam_proxy,0.5442708333333333,0.5373263888888888,0.0926625,0.07494341771962143,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,bfa569fbae807b7f50c3389f,coupling_negative,0.5208333333333333,0.5310724431818181,0.15443749999999995,0.06629937578946088,32,estimable,True,4,0,True
measurement_missingness_concentration,confirmation,joint_gaussian_regularized_cluster,bfa569fbae807b7f50c3389f,coupling_positive,0.5208333333333333,0.53125,0.15443749999999995,0.06744907594766002,32,estimable,True,4,0,True
